basin_id,dataset,fraction,nse_univariate_lstm,nse_multivariate_lstm,nse_persistence
003303A,CAMELS-AUS,0.1,-0.5731873958980076,-3.6060667265978266,0.2572140098990672
102101A,CAMELS-AUS,0.1,0.5431642645560332,0.5173284407968681,0.6453490559298178
104001A,CAMELS-AUS,0.1,0.42664926184825813,-0.7520133422873185,0.7067698612466514
105101A,CAMELS-AUS,0.1,0.42248111875219774,-0.522185941430733,0.5912879098251009
105102A,CAMELS-AUS,0.1,-0.46563180466361676,0.34201499165980476,-4.989211005125448
105105A,CAMELS-AUS,0.1,0.5436599559235948,0.222683717967621,0.7351565414083137
107001B,CAMELS-AUS,0.1,0.4563817236410985,-0.8973473676743866,0.675195844840188
108002A,CAMELS-AUS,0.1,0.6085522111096765,0.5244727180454892,0.8775499683269169
108003A,CAMELS-AUS,0.1,0.5376565222155085,-0.027634978479738725,0.5391318012872356
111005A,CAMELS-AUS,0.1,0.44287015813664776,-0.16090444864638198,0.4361676925335528
111007A,CAMELS-AUS,0.1,0.3204202313650666,0.22404150640944487,0.2484222573121554
112002A,CAMELS-AUS,0.1,0.482317565371122,-0.003295624370826644,0.626140122484806
112101B,CAMELS-AUS,0.1,0.510070029539576,0.05787782328783031,0.5923600236888549
112102A,CAMELS-AUS,0.1,0.6160313953780726,-0.00416189625026786,0.7626561452427211
113004A,CAMELS-AUS,0.1,0.5338143057804228,0.4046087283199187,0.6963192795945883
114001A,CAMELS-AUS,0.1,0.3558449486436438,0.5338013900218427,0.38875446906171585
116006B,CAMELS-AUS,0.1,0.2780216695751737,0.8457057337372823,0.3446972342969892
116010A,CAMELS-AUS,0.1,0.46800288865233697,0.6969123010225762,0.607541152099948
116011A,CAMELS-AUS,0.1,0.23790512107812312,0.409679866893108,0.27405751455715144
116012A,CAMELS-AUS,0.1,0.5514456455146289,0.5205399309741412,0.6003491339594187
116013A,CAMELS-AUS,0.1,0.36017687925555464,0.5383335071672075,0.35742105984361006
116014A,CAMELS-AUS,0.1,0.4187877096801298,0.7472322234941546,0.4314649097041574
116015A,CAMELS-AUS,0.1,0.3430379638052853,0.6546435704988831,0.28769317780013937
117002A,CAMELS-AUS,0.1,0.7319983411685157,0.5468386682337522,0.74424624020008
117003A,CAMELS-AUS,0.1,0.3949225833114207,0.18375701170711034,0.779795656112257
118106A,CAMELS-AUS,0.1,0.5321755836158081,0.39023262782749646,0.7570187979069559
119003A,CAMELS-AUS,0.1,0.5974659550580872,0.5594029740331135,0.891038587697186
120102A,CAMELS-AUS,0.1,0.30790412552311286,0.2446373550624118,0.6880891472004502
