basin_id,model,mode,dataset,NSE,KGE,RMSE,MAE,PBIAS,FDC_slope_error,FDC_KGE,tail_RMSE_95,tail_RMSE_99,RB_flashiness_obs,RB_flashiness_sim,CRPS,mean_pred_std,n_predictions
003303A,chronos,zero_shot,CAMELS-AUS,0.17159603349430375,-0.15021591050645755,0.20174271408172575,0.020718560997227572,-68.98113234735511,,-0.07833915545975123,0.8728663312369266,1.9490135832728719,1.9446816444396973,1.7479252,0.01626290274396864,0.003411522600799799,188
102101A,chronos,zero_shot,CAMELS-AUS,0.4557762200572083,0.4184387853086886,7.797552938441424,1.512936087270136,-23.29290192227698,-0.007459770891562245,0.5037551381681344,32.26189427047789,62.45491451454694,1.300455927848816,1.0761939,1.2980632904282423,0.896604597568512,166
104001A,chronos,zero_shot,CAMELS-AUS,0.5944230925517205,0.4998140717926698,1.2996496325046407,0.23449261897678028,-19.909546757284744,,0.528204040456632,5.5814746064545355,10.655040930580206,1.1626465320587158,0.94305104,0.20034843390557308,0.24344748258590698,188
105101A,chronos,zero_shot,CAMELS-AUS,0.6452421900463157,0.7687104102597895,1.5655340847497632,0.4555196583008163,9.542687618232936,-0.009859903112056784,0.8177174325462491,5.620220882337874,7.1096118407993325,0.9790721535682678,1.0669329,0.367703742629632,0.24723801016807556,188
105102A,chronos,zero_shot,CAMELS-AUS,0.32629597365372354,0.061019293641797256,3.7984760878989183,0.5093736615336264,-54.71913987657877,0.04840578057452426,0.09345741781001327,16.39565905219952,34.30051780052042,1.798930287361145,1.6311175,0.45115003983629015,0.1920284926891327,170
105105A,chronos,zero_shot,CAMELS-AUS,0.5289584097561986,0.45489187806006326,3.7995906636127357,0.6953266151903374,-17.591565683944644,-0.0009761945820267598,0.48604807515241244,16.045764422597536,33.682991176705144,1.243515133857727,1.0801941,0.5832157830013721,0.5785883665084839,188
107001B,chronos,zero_shot,CAMELS-AUS,0.4065005178321027,0.710562036376799,1.230812930796427,0.30611824099484714,-0.8437751733662835,-0.0007037631646201609,0.8517673690581242,5.088054594151134,7.38906260467573,0.8890150785446167,1.0034949,0.2507441962648771,0.16510221362113953,188
108002A,chronos,zero_shot,CAMELS-AUS,0.5586453858978355,0.44716294427823433,8.938166932382446,1.3984489392964763,-23.447782279462302,-0.007225524214640663,0.48869533895174344,38.176103786593565,84.37214846330066,1.147107720375061,0.9323734,0.6844538468810842,0.8380247354507446,188
108003A,chronos,zero_shot,CAMELS-AUS,0.6957439112681041,0.7087153521315128,3.499699241890718,1.2011843440221979,-15.077880688059567,-0.004412958952619617,0.7552834791485156,13.36154413619693,23.634984044715306,0.7446641325950623,0.6331254,1.1097936080857513,1.1708418130874634,188
111005A,chronos,zero_shot,CAMELS-AUS,0.5802727914957442,0.7026881826707481,4.549306975896465,1.2264208356116681,-10.142935426584836,-0.001355671955334127,0.8138265420159874,16.821153446137693,28.136629269920046,0.7876271605491638,0.686078,0.9952554804610316,0.9620679616928101,188
111007A,chronos,zero_shot,CAMELS-AUS,0.5929610913975454,0.6596391564109791,5.971075296615625,1.4360125926422311,-11.194795816761387,0.0009032702753842235,0.7471244916357431,25.108722263823495,45.21319570903342,0.9157184958457947,0.7501866,1.1553956828893994,1.2294868230819702,188
112002A,chronos,zero_shot,CAMELS-AUS,0.13868401189624946,0.5665265490324329,7.307890327748884,2.0342168271383074,-6.464557535004138,-0.0026359453832645804,0.933619355107604,22.521231777894695,41.74465313592816,0.5723217129707336,0.5212216,1.7540333629734348,1.5631836652755737,188
112101B,chronos,zero_shot,CAMELS-AUS,0.648502318573551,0.7347604086410651,3.5384945253493236,0.992440346390643,-9.67836993938649,-0.0021607669295659257,0.8142943181550755,14.719160054718502,21.940005415998797,0.4593071937561035,0.40179357,0.8294297634783798,0.7226250767707825,188
112102A,chronos,zero_shot,CAMELS-AUS,0.6984751437040755,0.8252224983162925,4.145339173545225,1.3780744169303711,-8.869684602302248,-0.004338312590225598,0.8899437244673614,11.744733267160585,14.696997013416977,0.6079992651939392,0.5830499,1.2624570484825808,1.2646867036819458,188
113004A,chronos,zero_shot,CAMELS-AUS,0.6642451793980266,0.6302878979455568,3.244972081957059,1.083147960615919,-16.01999983932543,-0.0003238150018427602,0.6680748506849428,13.014819985526472,21.87794505550566,0.5893251895904541,0.4232736,0.932926245963217,0.7378029227256775,188
114001A,chronos,zero_shot,CAMELS-AUS,0.8385071665671153,0.7723499582531786,2.432132549232875,0.6582653672295682,-13.403249987971925,-0.004343783139794714,0.7858443592909347,9.609660083455033,18.758695950282466,0.7469979524612427,0.6084667,0.5933022447792585,0.6904220581054688,188
116006B,chronos,zero_shot,CAMELS-AUS,0.6530765780056458,0.7187363846640927,1.615078250862255,0.2651616091978677,-12.739972789620877,-0.003389953383713583,0.7927778702520907,6.970198281520135,14.879341812383203,0.8533755540847778,0.80722165,0.2480628263074912,0.1669052541255951,188
116010A,chronos,zero_shot,CAMELS-AUS,0.5178708715785245,0.41958580911340404,3.0727361289582205,0.6371916959240557,-25.423257639006412,-0.004242975671801902,0.4678286707124828,13.206382607571083,23.392880761720136,0.7749064564704895,0.6395243,0.5739958370403612,0.3176543116569519,188
116011A,chronos,zero_shot,CAMELS-AUS,0.9264099884493022,0.9396351440156756,0.5285589168278628,0.19000192850511124,-4.800661600253417,0.0012912375307313415,0.9500776370300674,1.4361497340636324,1.7294804649820381,0.47233352065086365,0.45422015,0.18107190649537389,0.31139007210731506,188
116012A,chronos,zero_shot,CAMELS-AUS,-0.046786133706625765,-0.09646278329676705,9.639117470059631,1.4675339630884217,-47.680853885527156,0.0016113152303399748,0.2688289580819434,41.78968546845921,86.12926728543549,1.5216541290283203,1.1452886,1.3687069631993691,0.272808700799942,188
116013A,chronos,zero_shot,CAMELS-AUS,0.7636663938955197,0.7414644867544385,1.1882130513255846,0.34308345483100794,-11.282167887295477,0.0011169412409082202,0.7710109237003038,4.78117056328091,8.055958332000907,0.6835664510726929,0.6057417,0.24648360077268722,0.39595234394073486,188
116014A,chronos,zero_shot,CAMELS-AUS,0.5733203529826707,0.6981881655801501,1.3161195460070911,0.3218532836233746,-12.751157009768171,0.0038851493232582995,0.8106160468623965,5.24121622410036,10.32428704728973,0.9461165070533752,0.9623575,0.28949842831949263,0.2620697021484375,188
116015A,chronos,zero_shot,CAMELS-AUS,0.5429718043677361,0.764731041856816,1.5935915318154998,0.45075490718033717,-1.6903404887928872,-0.0017648255844537608,0.8656628106456111,6.46530120307887,8.980147198767947,0.6471465826034546,0.6329063,0.37028338870538746,0.4728098511695862,188
117002A,chronos,zero_shot,CAMELS-AUS,0.3586304593630979,0.12425972437141419,7.045386254374395,0.8071482808148349,-47.87154028468351,-0.007677366060139759,0.16470674280961894,30.464530699737875,67.51684317780318,1.2685688734054565,0.9992733,0.7501519640982955,0.27231696248054504,188
