bin,n,rho1,pers,ar2,ar5,tfm,pct_ar2_pers,pct_ar5_pers,pct_tfm_pers,pct_tfm_ar2,pct_tfm_ar5,pss_tfm_pers,pss_tfm_ar2,pss_ar2_pers,wilcoxon_p_tfm_ar2
Q1 flashiest,1642,0.5981119606156096,0.24659463251586872,0.3126666903516303,0.2702632952013698,0.4017206658305086,61.20584652862363,56.577344701583435,67.90499390986602,62.42387332521315,66.38246041412911,0.17770679614402568,0.051071457704909506,0.07427416377785806,1.0520665402449065e-54
Q2,1642,0.8048363039697544,0.642654880833373,0.6629926361726494,0.6548231328087691,0.6612273956472976,61.44945188794153,55.84652862362972,52.98416565164433,44.27527405602923,47.80755176613886,0.014817109789198424,-0.026661723594963993,0.04959403136440488,0.1737233490167932
Q3,1642,0.9110643773334799,0.8383159150988533,0.8464365512378653,0.8428118811746024,0.8281978903572205,61.20584652862363,58.16077953714982,36.90621193666261,29.90255785627284,32.39951278928137,-0.07965342735986947,-0.12157138824715608,0.03444772167955934,4.299667245159528e-49
Q4 damped,1642,0.9796476736076162,0.9647709486695176,0.9691699418932551,0.9676977623999303,0.9575813414796798,72.2898903775883,67.78319123020707,21.193666260657736,14.738124238733253,16.930572472594395,-0.20604439339351188,-0.3924856447057363,0.11286341487655532,7.85404707269351e-142
