basin_id,model,mode,dataset,NSE,KGE,RMSE,MAE,PBIAS,FDC_slope_error,FDC_KGE,tail_RMSE_95,tail_RMSE_99,RB_flashiness_obs,RB_flashiness_sim,n_predictions
003303A,persistence,zero_shot,CAMELS-AUS,0.38939359877393487,0.17413599112171085,0.17320381387387693,0.02064699943193386,-46.48823238714695,,0.2251508611006634,0.7501681325377072,1.643428205136704,1.9446816444396973,1.8808305263519287,188
102101A,persistence,zero_shot,CAMELS-AUS,0.7405548590324127,0.6477142896938393,5.383842486803228,1.1688253724948416,-12.185170069866475,-0.0025141254577314837,0.6652633695479784,22.160234224510997,38.342396803477946,1.300455927848816,1.134629726409912,166
104001A,persistence,zero_shot,CAMELS-AUS,0.44755311355302807,0.48269704148069426,1.5168231341198357,0.3000385186234243,-17.01781196200179,0.0007855049169763761,0.5986953135809906,6.475400683159775,12.024325617384237,1.1626465320587158,0.9765012860298157,188
105101A,persistence,zero_shot,CAMELS-AUS,0.5639792504147765,0.607044237120802,1.7356019264487976,0.49934780712720434,20.576272166999637,-0.00532034162486357,0.6281173968077248,6.825594507726236,11.623511603591753,0.9790721535682678,1.0375773906707764,188
105102A,persistence,zero_shot,CAMELS-AUS,-0.26577349144493856,-0.020883734488656325,5.206583328592863,0.6282080460594203,34.12378275190699,0.003417649374843401,-0.02073704335894,22.60004824658842,47.54439688339134,1.798930287361145,1.8145322799682617,170
105105A,persistence,zero_shot,CAMELS-AUS,0.3053992538406183,0.5725266869980852,4.613970434897039,0.8065604796744528,-1.8615190933978731,0.0020086647343003777,0.8417037131104078,19.682970535295635,42.89503567333114,1.243515133857727,1.1296969652175903,188
107001B,persistence,zero_shot,CAMELS-AUS,-1.120244947729689,-0.007996636249438582,2.3263491512162955,0.41973412572653923,16.942147562844745,-0.0012788346078059717,0.030776490726604377,9.970508295653076,21.271120681063817,0.8890150785446167,1.0865074396133423,188
108002A,persistence,zero_shot,CAMELS-AUS,0.7075048198106533,0.49589028393766477,7.276356734255039,1.373518732237689,-18.04551268579507,-0.003934411722191222,0.49762515548635644,30.704167757190625,67.71606141763411,1.147107720375061,0.891828179359436,188
108003A,persistence,zero_shot,CAMELS-AUS,0.5647750427907547,0.7869643916401589,4.1856988621951725,1.5454666552708505,1.8246727175599928,-0.0028761511445448036,0.954681788660972,13.856770718099877,21.738696848529777,0.7446641325950623,0.7813754081726074,188
111005A,persistence,zero_shot,CAMELS-AUS,0.6490577279692322,0.8262263346868095,4.1598677438292375,1.228011892989595,2.112626853371278,0.0002517432893015571,0.9568282697170941,16.33277152435762,31.457361250456813,0.7876271605491638,0.7737922668457031,188
111007A,persistence,zero_shot,CAMELS-AUS,0.7128059002457862,0.8307526110612586,5.015593626683752,1.2443604521611904,-2.6726931367492277,0.000956195014135755,0.9165982294977043,20.946064748332834,42.368596473523645,0.9157184958457947,0.8236851096153259,188
112002A,persistence,zero_shot,CAMELS-AUS,-0.19229197295395983,0.4641032178118324,8.598091781397283,2.343370204117704,8.28940424028711,-0.0010178108776958475,0.6325204168922027,18.398980734970266,23.283076797263796,0.5723217129707336,0.6534060835838318,188
112101B,persistence,zero_shot,CAMELS-AUS,0.6257232758598894,0.803667933247902,3.6513520287186028,1.1581815439969936,-1.2760440043113463,-0.0022007035953084085,0.9572811557625839,13.575074064026138,24.419117232597028,0.4593071937561035,0.46129053831100464,188
112102A,persistence,zero_shot,CAMELS-AUS,0.492227832287479,0.6789541495952568,5.379389081297027,1.6853108712016267,3.7949342705226297,-0.0036463778415986754,0.7266362166023892,17.18737612696114,15.921531019920153,0.6079992651939392,0.6890565156936646,188
113004A,persistence,zero_shot,CAMELS-AUS,0.7361723074828972,0.8096443538570136,2.876471171826065,1.112672082445723,-4.803430909586549,-0.00041338873436068055,0.8714427807517597,10.883114049125115,18.943408957127094,0.5893251895904541,0.5036931037902832,188
114001A,persistence,zero_shot,CAMELS-AUS,0.37195238868264746,0.669606037944597,4.7963061536900895,1.1594513970169615,5.927080932697849,-0.0015715500853204015,0.7683928738794557,19.132664124675227,21.99071719390804,0.7469979524612427,0.6868300437927246,188
116006B,persistence,zero_shot,CAMELS-AUS,0.7495849639067323,0.6504541342202013,1.3721669643855479,0.2722184349079319,15.14596208263097,-0.002451521379405977,0.654822904193628,5.80740484182357,3.1726858366080477,0.8533755540847778,0.9321020245552063,188
116010A,persistence,zero_shot,CAMELS-AUS,0.7811830977301398,0.7925916698723162,2.070065151371733,0.5445673800806733,6.4643024978620245,-0.00385582227025124,0.8030994725591898,8.786941806288597,12.415441470315841,0.7749064564704895,0.7574723362922668,188
116011A,persistence,zero_shot,CAMELS-AUS,0.7836615814366207,0.8100304445329336,0.9062557886182534,0.29129718093478935,3.294287259013023,0.0025122167104536727,0.8271061751184662,3.541068353542563,7.0202031628045445,0.47233352065086365,0.5068974494934082,188
116012A,persistence,zero_shot,CAMELS-AUS,0.012502287581781846,-0.15680638989811202,9.362166091024735,1.4116300466876635,-48.94345595413201,0.002353433283915466,0.1667077548129624,40.58366401470019,86.02411161584216,1.5216541290283203,1.0786304473876953,188
116013A,persistence,zero_shot,CAMELS-AUS,0.8276554347270296,0.8902987469237414,1.0146829758722051,0.3421119074039954,2.4608523128442767,0.0013206014350877551,0.921461934854803,3.8954114904313735,3.8860461915123046,0.6835664510726929,0.6313272714614868,188
