target,target_label,predictor,predictor_label,n,spearman_rho,p_value,p_bh
d_lstm_tfm,LSTM - TimesFM (value of local training),p_seasonality,Precipitation seasonality,3357,0.055243343295531086,0.0013646196050285278,0.0019944440381186174
d_tfm_pers,TimesFM - persistence (FM value-add),fdc_slope,Flow-duration-curve slope,6561,0.038078220424200254,0.0020364327055814695,0.002901916605453594
nse_timesfm,TimesFM zero-shot NSE,fdc_slope,Flow-duration-curve slope,6561,-0.036011843144188586,0.003530197150658369,0.0049078350631104155
d_lstm_tfm,LSTM - TimesFM (value of local training),zero_q_frac,Zero-flow day fraction,5978,-0.03658453619542053,0.004669642344525345,0.006337371753284397
d_tfm_pers,TimesFM - persistence (FM value-add),q95_q50,Q95/Q50 ratio,6561,0.0340069899296145,0.0058721185588281885,0.007783971112865273
nse_timesfm,TimesFM zero-shot NSE,frac_snow,Snow fraction,3369,0.045715641887342506,0.007957216824449062,0.010308212704399923
d_tfm_pers,TimesFM - persistence (FM value-add),regulation,Regulation / disturbance index,2047,-0.0547456331371594,0.01324011702153474,0.016770814893944004
d_lstm_tfm,LSTM - TimesFM (value of local training),area,Catchment area,3579,0.036760795975532154,0.027865106492135947,0.03452850152286411
d_tfm_pers,TimesFM - persistence (FM value-add),zero_q_frac,Zero-flow day fraction,6569,0.02376633896927282,0.054085370837336076,0.06559289654740759
d_lstm_tfm,LSTM - TimesFM (value of local training),slope_mean,Mean slope,3579,0.029919580502813993,0.07350108498471879,0.08728253841935356
nse_timesfm,TimesFM zero-shot NSE,regulation,Regulation / disturbance index,2047,-0.030594075238056104,0.16645948660906065,0.19363654564727464
d_lstm_tfm,LSTM - TimesFM (value of local training),frac_snow,Snow fraction,3352,-0.02273680861467911,0.188153953809787,0.21449550734315717
nse_timesfm,TimesFM zero-shot NSE,aridity,Aridity (PET/P),3602,-0.01858499139089022,0.26479970832906435,0.2959526151913072
d_lstm_tfm,LSTM - TimesFM (value of local training),regulation,Regulation / disturbance index,2033,-0.02269182734579908,0.30647350220136443,0.33594210818226483
d_lstm_tfm,LSTM - TimesFM (value of local training),aridity,Aridity (PET/P),3579,-0.015410012992900842,0.3567201599929607,0.3836424362188445
d_lstm_tfm,LSTM - TimesFM (value of local training),elev_mean,Mean elevation,3579,0.011351723355515186,0.49720211831132216,0.5248244582175067
d_tfm_pers,TimesFM - persistence (FM value-add),frac_snow,Snow fraction,3369,0.00926961971014111,0.5906811346817579,0.6121604486701854
d_lstm_tfm,LSTM - TimesFM (value of local training),fdc_slope,Flow-duration-curve slope,5971,0.003231878424994591,0.8028326057686902,0.8049577316242114
d_lstm_tfm,LSTM - TimesFM (value of local training),forest_frac,Forest fraction,2464,0.004977162812319133,0.8049577316242114,0.8049577316242114
