stratifier,bin,n,median_nse_timesfm,median_nse_persistence,median_d_tfm_pers,pct_basins_fm_wins
flow_memory_ac1,Q1 lowest memory (flashy),1643,0.4017177635314902,0.2458399433251428,0.1163027828891779,67.9245283018868
flow_memory_ac1,Q2,1642,0.6612273956472976,0.642654880833373,0.0058171189657964,52.923264311814854
flow_memory_ac1,Q3,1642,0.8281978903572205,0.8383159150988533,-0.01163495116067635,36.90621193666261
flow_memory_ac1,Q4 highest memory (damped),1642,0.9575813414796798,0.9647709486695176,-0.00406700007664195,21.193666260657736
flashiness_rbi,Q1 least flashy,1643,0.949669652756064,0.9580486956453445,-0.0036040445460083,24.589166159464394
flashiness_rbi,Q2,1642,0.8363733074592143,0.8435640285129122,-0.00723772831670265,40.31668696711328
flashiness_rbi,Q3,1642,0.6812448397398108,0.661607562928052,0.0024008496239178003,51.76613885505481
flashiness_rbi,Q4 most flashy,1642,0.4330918426106092,0.31469603048563216,0.06572968108010399,62.302070645554195
aridity_class,humid (PET/P<0.75),1861,0.7384957013967502,0.7208767342673272,-0.0004126061245336,49.48952176249328
aridity_class,sub-humid (0.75-1.5),1219,0.7278690958115994,0.7316571398513247,-0.0035277147566794,43.970467596390485
aridity_class,semi-arid (1.5-3),379,0.6459926953054211,0.6035935692970749,-0.0034537609451344,45.64643799472295
aridity_class,arid (>3),143,0.8263633780379311,0.8748810391069374,-0.0069445149045567,34.26573426573427
snow_influence,snow-free (<0.05),1852,0.7340871877559758,0.7313781702161981,-0.00152480012428785,46.59827213822894
snow_influence,mixed (0.05-0.25),1087,0.654460416708447,0.6208445709024375,0.0011113456099313,51.057957681692734
snow_influence,snow-influenced (>=0.25),430,0.8748019262643697,0.8837997124009443,-0.00441978257963135,36.04651162790697
intermittency,perennial (no zero-flow),5421,0.7927137000178182,0.7958288117775622,-0.002391299356995,43.46061612248663
intermittency,intermittent (>1% zero-flow),1026,0.6029551765495991,0.5589605319788312,0.0013185946103802999,50.877192982456144
