dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_gbt_shuf,wet_dry
CAMELS-AUS,136203A,1314,0.5767828991412629,0.25578457,0.17618924,3.4458463191986084,0.31747904419898987,0.0015246550748420074,0.004093581136836777,0.0011887925768643282,0.0012657431674756303,10.853775649641987
CAMELS-AUS,136208A,1314,0.6226948513736885,0.33293533,0.26415437,2.860736131668091,0.11552327126264572,0.11663485210951752,0.006868714631195094,-0.005018491442031481,0.0005792075445251177,24.763288819653653
CAMELS-AUS,136304A,1314,0.7576409770744448,0.53812885,0.5208838,2.174306869506836,0.27012041211128235,0.1176068744152945,0.06373904499095018,0.031025851812805705,0.0019805419514771216,8.049398608984351
CAMELS-AUS,137101A,1314,0.557519454055778,0.18492842,0.024738729,2.976736068725586,0.12674792110919952,0.1259339635941078,0.00706625298514163,0.002805207972069068,-0.0005024593996123539,23.485482386421015
CAMELS-AUS,137201A,1314,0.2759965088727353,0.041818857,-0.6470283,3.265394687652588,0.1281275451183319,0.1175637334959645,0.017255842681242695,0.010889438620258485,-0.000508565219800472,25.48550106565173
CAMELS-AUS,138004B,1312,0.6470519304894945,0.23312044,0.17518109,2.804131507873535,0.15427495539188385,-119.58214255768004,-132.85871829544683,-372.9315672110848,-207.7167077533351,18.176193930833286
CAMELS-AUS,138009A,1314,0.6281164826515453,0.34940338,0.26800627,2.0876498222351074,0.05567022040486336,0.1559559703876584,0.03823700983043543,0.01186185258925787,0.0014329308230847104,37.50029741309826
CAMELS-AUS,138010A,1314,0.5375791761547423,0.16477871,0.123603344,3.531507968902588,0.11351139098405838,-173.96622837800487,-170.9060155330831,-288.6064482215025,-165.387435898098,31.11148527286178
CAMELS-AUS,138110A,1314,0.5903318165016069,0.24106234,0.1858381,2.109938383102417,0.04723292216658592,0.13144400657985167,0.029507144718764367,0.017262780413139445,0.00041924541678406424,44.670926259037486
CAMELS-AUS,138113A,1314,0.5209912123375906,0.09697294,-0.023186922,3.1179990768432617,0.1296931505203247,-7.395841067255475,-2.295252324270013,-5.28922708044581,-15.800959025752839,24.041355031734142
CAMELS-AUS,138903A,1314,0.8777394474427825,0.45691162,0.7554946,1.4484716653823853,0.1757401078939438,0.4117478185796152,0.1860239648575045,0.19617734105108908,-0.0006938681670087821,8.242123455714012
CAMELS-AUS,140002A,1314,0.7296887009104958,0.37745237,0.51299834,0.6608937978744507,0.052241213619709015,0.8019374366434452,0.28340278645728945,0.15717769513996516,-0.0421298667298835,12.650812492325324
CAMELS-AUS,141008A,1314,0.7549337237288773,0.6305827,0.6674409,0.8975352644920349,0.1283164918422699,0.544876473401174,0.5304680686952108,0.4735620226287338,-0.21527217353925798,6.994699212906394
CAMELS-AUS,143007A,1314,0.21628210535292539,0.03585708,0.00784421,3.022364854812622,0.11311901360750198,0.13393249657176642,0.02759444997549454,0.01506829039534674,-0.0029914989058974495,26.718451287946703
CAMELS-AUS,143009A,1314,0.7431873914620468,0.4046691,0.52239,2.600815773010254,0.0862695574760437,0.2361843607930315,0.04133363590015382,0.014718616336611423,0.00032747217441286836,30.14754971627712
