basin_id,model,mode,fraction,dataset,NSE,KGE,RMSE,MAE,PBIAS,FDC_slope_error,FDC_KGE,tail_RMSE_95,tail_RMSE_99,RB_flashiness_obs,RB_flashiness_sim,n_predictions
003303A,chronos,few_shot,0.01,CAMELS-AUS,0.20007763486757446,0.23184313426042058,0.11930066599017468,0.02076063946161187,-36.28627782797297,,0.43756496047048987,0.5086331785099977,1.068087684005972,1.6745353937149048,1.6497070789337158,186
102101A,chronos,few_shot,0.01,CAMELS-AUS,0.15126314807539176,0.5517881726313348,5.027826593464084,1.2224269407618233,-12.464232126546019,0.010591156112892283,0.8733238121146706,19.638457310437104,22.11680160434819,1.0785651206970215,1.1104321479797363,164
104001A,chronos,few_shot,0.01,CAMELS-AUS,-0.04610525421135114,0.4978847557230378,1.8708946384370087,0.4020237135298344,5.258610860075698,,0.6169134333892436,7.647765161302907,5.185999811839093,1.1235824823379517,1.24795401096344,185
105101A,chronos,few_shot,0.01,CAMELS-AUS,0.44867954734673277,0.662496526707304,4.458575168799113,0.8553624174646117,-8.076138752552792,-0.0037836081881296446,0.8492527365379211,16.536942744107673,30.180519985103256,1.2397187948226929,1.0591884851455688,185
105102A,chronos,few_shot,0.01,CAMELS-AUS,0.14267374809782785,0.027760976623385614,1.6044259643393421,0.37773437150763994,64.4889699828054,,0.03143280741864363,5.944144514544074,2.0529884333635686,1.4527406692504883,1.4875019788742065,168
105105A,chronos,few_shot,0.01,CAMELS-AUS,0.4395717361391044,0.5298110659214814,5.2402495776233105,1.1909568825499117,-23.19446122448998,,0.6638019824609102,21.8901095345128,36.984336305637626,1.1929577589035034,1.41084885597229,186
107001B,chronos,few_shot,0.01,CAMELS-AUS,0.36810423218917554,0.5562616419454502,1.4972202001814974,0.28894157692211103,10.46560784091004,-0.0018468489704367708,0.5881691890148819,5.629549411431715,2.6542506400984065,1.0179082155227661,1.1989794969558716,185
108002A,chronos,few_shot,0.01,CAMELS-AUS,0.45027101092451827,0.48829523366539374,10.102110082233201,1.8289130645333438,-21.892190541460426,-0.0036771577625817897,0.6033664965823679,43.38780201508583,78.52530124104373,1.0838576555252075,0.9033982157707214,186
108003A,chronos,few_shot,0.01,CAMELS-AUS,-1.1463300342993938,0.18840207327841973,13.104455389625096,3.355772646925142,-5.841296942076181,-3.7706455071388756e-05,0.43310703702493714,51.83130196300761,48.4398396745687,0.8840219974517822,0.9532111883163452,186
111005A,chronos,few_shot,0.01,CAMELS-AUS,0.4220685163741966,0.7076209892087221,4.3191266524432415,1.231714745308902,-10.10937032867476,-0.0037159988629753282,0.8436609483118863,16.11703308954795,21.207952746786837,0.6784683465957642,0.632656455039978,185
111007A,chronos,few_shot,0.01,CAMELS-AUS,0.6087705542643388,0.694372779676675,4.5377787139637284,1.0821033367706883,-18.491301797495176,-0.004988829204119846,0.7224012872823299,19.209824897968566,31.815732798577514,0.7708404660224915,0.6114076375961304,186
112002A,chronos,few_shot,0.01,CAMELS-AUS,0.28608272651361444,0.5977589751749973,7.155601493253396,1.7587444485836132,-14.795997537394356,-0.0024761373882174996,0.7995389718321766,30.5940969999273,46.5628413665136,0.5595160722732544,0.4301312565803528,186
112101B,chronos,few_shot,0.01,CAMELS-AUS,0.6753876183487337,0.5918785886284208,3.175580543943747,0.8853917022546133,-12.77011420689607,-0.0006434537511599489,0.6094884983217776,13.046203037997213,23.760310077737078,0.44156333804130554,0.3043999671936035,186
112102A,chronos,few_shot,0.01,CAMELS-AUS,0.2982844448277354,0.6508271253565807,5.89845832380501,1.570998923913125,-7.002577459742039,-0.002977479978323882,0.762975161548118,21.38400748939784,37.45632495865294,0.5546748042106628,0.6002371907234192,186
113004A,chronos,few_shot,0.01,CAMELS-AUS,0.39558084096258916,0.6970718597705855,4.686097817306227,1.1443591697795972,-9.733568280971598,-0.002490948689234395,0.7810258377570191,19.82796699401364,38.00975905635114,0.5538214445114136,0.5043013691902161,185
114001A,chronos,few_shot,0.01,CAMELS-AUS,-0.46861601169964273,0.2567227791287696,6.646977594016515,1.3103117244217986,16.479795566395843,0.00029080734802947733,0.3219808179126247,14.994202715321919,7.060794099141047,0.6182900667190552,0.7946248054504395,186
116006B,chronos,few_shot,0.01,CAMELS-AUS,0.704071024926292,0.7609702894617338,1.2189748805687122,0.25655170274718153,-11.125242174633149,-0.0002620558843726972,0.821286376674651,5.169838308624739,8.384745935280696,0.9242510795593262,0.8943411111831665,186
116010A,chronos,few_shot,0.01,CAMELS-AUS,0.24088233770321876,0.6453265033923279,3.644238135962723,0.7512481029155433,-2.022007091367635,-0.0009251590729816156,0.8885466922549475,15.636352361763636,13.830854981270953,0.9493287205696106,1.0225735902786255,186
116011A,chronos,few_shot,0.01,CAMELS-AUS,0.5125944199474064,0.5096032990479481,2.0205860231507393,0.32675846605010894,9.622664412268408,-0.0016255310328479808,0.5139849734383221,8.631451332029101,18.9127402461611,0.5957704782485962,0.774627149105072,186
116012A,chronos,few_shot,0.01,CAMELS-AUS,-0.01189823695106118,0.18186495037712858,8.178509726153278,1.1516880607408648,-15.305022557904987,-0.0006246294614940945,0.5748009472459799,35.168652628901704,67.82973296524521,1.37300705909729,1.2925386428833008,185
116013A,chronos,few_shot,0.01,CAMELS-AUS,0.720464335397543,0.7875264522350774,1.8359466358641423,0.3945304082245916,-7.4814555890327945,-0.00013913748916454666,0.8495969207478673,7.706375702266918,9.652473711151245,0.8315727710723877,0.7961543202400208,186
116014A,chronos,few_shot,0.01,CAMELS-AUS,-0.05712327465274658,0.3401079765540176,2.0328929375519995,0.5031843234219098,31.09014258176201,0.0006728747250114436,0.3879775678555728,6.556706404280997,4.309097418043381,1.0400599241256714,1.2910003662109375,186
116015A,chronos,few_shot,0.01,CAMELS-AUS,0.7915308185075483,0.5448002049402303,2.3834155108798543,0.4983524118927685,-20.05358132869501,0.0017148121838654468,0.5455905777075096,10.071565305969377,21.000919943189345,0.9276749491691589,0.7196389436721802,185
117002A,chronos,few_shot,0.01,CAMELS-AUS,0.5171144173084044,0.5798796059680249,3.3437640229322256,0.5790670310993309,-5.56368146870588,0.0027459834358605634,0.663417841393682,13.932908771635825,26.83631635073695,1.3405306339263916,1.306293249130249,186
117003A,chronos,few_shot,0.01,CAMELS-AUS,0.4389849940504882,0.3379555285438587,11.363644581532924,1.4320369995930182,-29.854834367794084,-0.005695122440188036,0.39682918421624835,48.95860604572175,100.09890573901518,1.421685814857483,1.4189033508300781,186
118106A,chronos,few_shot,0.01,CAMELS-AUS,0.299373002391751,0.10716129926682061,11.387089184873266,1.3642622247708822,-45.83380607559932,,0.18100865380200992,49.08732708035928,105.71528818829593,1.501089096069336,1.1970058679580688,186
119003A,chronos,few_shot,0.01,CAMELS-AUS,0.2730761113600706,0.08128144577713925,7.358228263007767,0.7702313515417758,-45.47721362900772,-0.002012975556780896,0.15764338710084902,31.731865678855026,68.63733141607285,1.6648226976394653,1.108682632446289,186
120102A,chronos,few_shot,0.01,CAMELS-AUS,0.4444485402564151,0.11423123531612989,10.108668542499524,1.2781371721685408,-57.19538405737433,,0.12360558000679933,44.44560289633842,90.1469214956806,1.7971959114074707,1.5955041646957397,174
120301B,chronos,few_shot,0.01,CAMELS-AUS,0.7193099973445448,0.7130209915347024,0.06871432701912239,0.014263419834541095,-13.975330678535649,,0.7548754105014877,0.2918780639009104,0.5435803002169652,1.111732840538025,1.255955696105957,186
120304A,chronos,few_shot,0.01,CAMELS-AUS,0.09401601856407038,0.0150984317700944,0.1238827182489233,0.014905070160610741,-34.600428207111456,,0.2550826338555653,0.5281676021815412,1.163076284474012,1.7567579746246338,1.376268982887268,186
121001A,chronos,few_shot,0.01,CAMELS-AUS,-0.19308177826533424,0.17686379660210727,3.4787635203581275,0.4629910336193781,-19.018212522088817,-0.0025168079416141714,0.6798795039023662,14.961015974812264,27.669770648862112,1.6657593250274658,1.6219342947006226,185
121002A,chronos,few_shot,0.01,CAMELS-AUS,-0.12229724353853344,0.4962319670283354,1.3418735064004907,0.2266727954741906,-3.761192777762156,,0.6619371547706576,5.932965950026439,4.831625966339215,1.7104523181915283,1.900199055671692,176
121003A,chronos,few_shot,0.01,CAMELS-AUS,-0.6071014992791506,0.3243656388877003,0.8159049412183522,0.17015726768956377,11.026690454308861,-0.0025761921597653586,0.7267349155404443,3.473650800278199,5.2625738380568405,1.4187233448028564,1.491523265838623,186
122004A,chronos,few_shot,0.01,CAMELS-AUS,0.27271547742987323,0.33322879203331157,9.589163826054124,2.059276055373747,-31.236248316122303,-0.0023046374460480024,0.5205911941606283,33.20193946193185,62.40896657501692,1.446984887123108,1.405009150505066,186
124002A,chronos,few_shot,0.01,CAMELS-AUS,-0.1501698200721746,0.37716507756716855,4.3522723259793645,0.8727950980740466,-22.560103716449717,-0.002366501316676317,0.7636659596928789,19.110184267161593,29.68441677964054,1.0084906816482544,0.8798028826713562,175
125005A,chronos,few_shot,0.01,CAMELS-AUS,0.010487178473878034,0.21322667042742305,1.6578187318579065,0.23471048155859595,-12.424733838226127,-0.002330413272538523,0.5938509324874444,7.122536363407339,14.970586946388101,1.113248348236084,0.9158408045768738,186
126003A,chronos,few_shot,0.01,CAMELS-AUS,0.17320741536409767,0.3727867440528657,3.4669539842710213,0.7017932561969745,-19.869552596365065,,0.6415639022273221,14.278262456693334,27.459651102577997,1.4017635583877563,1.4013068675994873,186
129001A,chronos,few_shot,0.01,CAMELS-AUS,0.06729418433778667,0.22675197134945524,5.575715718119666,1.1642598760945182,-20.336797683873858,-0.0016978422408426043,0.5468739296757765,23.173281456799675,42.24182921278983,1.605718970298767,1.5546125173568726,186
130004A,chronos,few_shot,0.01,CAMELS-AUS,0.628314363000161,0.608608649012942,0.12442988428296828,0.02707808349226471,-6.024381067699575,0.0005301569669686479,0.6427380136194629,0.5223837163988675,0.909519409646339,1.3147010803222656,1.2094842195510864,186
130302A,chronos,few_shot,0.01,CAMELS-AUS,0.4446140089900539,0.5826185606389548,0.1917638546570716,0.03611911817239083,-22.675419933590405,-0.0018565575972792417,0.7239878011348161,0.8228250466509871,1.3798375113524879,1.2590441703796387,1.0482163429260254,186
130324A,chronos,few_shot,0.01,CAMELS-AUS,0.17195205858754725,0.32839990424644816,0.1981092494107377,0.034931217555910526,-18.868741846189625,-0.0007109888473531001,0.6016432975316744,0.8457976420993855,1.6694598859576903,1.4822672605514526,1.2416961193084717,186
130403A,chronos,few_shot,0.01,CAMELS-AUS,0.2613044122811833,0.5003641115555357,2.751739862253393,0.4395597023053548,-11.221576283836438,0.009433241589442226,0.7587475865940116,11.865990496535447,22.506052907504937,1.3850501775741577,1.6537127494812012,186
130410A,chronos,few_shot,0.01,CAMELS-AUS,0.389697051950772,0.20770170152278655,0.06617478219665147,0.012574445716401447,-51.56986162041182,,0.2917381810680473,0.2835791613061182,0.5448860698851233,1.8580800294876099,1.6424616575241089,186
130413A,chronos,few_shot,0.01,CAMELS-AUS,0.13270327455257813,0.1258072989015988,1.2444937069909001,0.1934092999994567,-44.42229893116208,,0.3645683691797411,5.366715229548223,11.165788873477977,1.2268972396850586,1.7061511278152466,186
