archive,n,pers,tfm,ar1,ar2,ar5,pct_ar2_gt_pers,pct_tfm_gt_ar2,pct_tfm_gt_bestar
CAMELS-AUS,559,0.5228423611698685,0.6071112954093887,0.5438150936536608,0.502659309719629,0.3887624411784197,45.97495527728086,57.960644007155636,48.479427549194995
CAMELS-BR,3836,0.8211293466973909,0.8119472286566964,0.8200535152828927,0.8245285120008852,0.8194358671315607,67.570385818561,34.07194994786236,25.62565172054223
CAMELS-CL,394,0.8685221216856411,0.8658653822243862,0.864966715208082,0.8705088134554251,0.8509900046416491,56.598984771573605,42.38578680203046,31.472081218274113
CAMELS-IND,228,0.63620554249271,0.6466608526726502,0.6557549971500802,0.6145481347132113,0.541637398950171,48.24561403508772,47.368421052631575,37.280701754385966
CAMELS-US,671,0.585229436289312,0.7068033842246118,0.674848678198426,0.6456710957398423,0.6208566222426293,71.83308494783904,50.96870342771982,43.96423248882265
LamaH-CE,880,0.7045430817586216,0.6772028394830927,0.7068111616984812,0.7026628606245422,0.708882309727825,61.59090909090909,26.931818181818183,15.681818181818183
ALL,6568,0.7704584908054382,0.7672202419008816,0.7700699816506377,0.7693512428399886,0.7566709022219821,64.03775883069429,37.83495736906212,28.867235079171742
