dataset,n_q1,med_ac1_q1,win_q1
CAMELS-US,168,0.4664999051332418,81.54761904761905
CAMELS-AUS,140,0.4685173853868952,73.57142857142858
CAMELS-IND,57,0.52635836261611,71.9298245614035
LamaH-CE,220,0.6130819356346302,54.54545454545454
CAMELS-BR,959,0.6459414058331142,65.69343065693431
CAMELS-CL,99,0.7515488592834508,46.464646464646464
