basin_id,dataset,fraction,nse_univariate_lstm,nse_multivariate_lstm,nse_persistence
01013500,CAMELS-US,0.05,0.9673031506033883,0.9315295619823293,0.9864735750103367
01022500,CAMELS-US,0.05,0.6694848510233791,0.5066532580708534,0.6919005458960601
01030500,CAMELS-US,0.05,0.8305990140746088,0.8089406472560567,0.9280875605649797
01031500,CAMELS-US,0.05,0.6944593901814179,0.5644973590557653,0.7250058465148521
01047000,CAMELS-US,0.05,0.6894576859177763,0.6692776484784637,0.6119240948771707
01052500,CAMELS-US,0.05,0.42445001291178086,0.3399654921820141,0.30320206165674957
01054200,CAMELS-US,0.05,0.024864308445160743,-0.059362540604134484,-0.008138279254126468
01055000,CAMELS-US,0.05,-1.9754826781737123e-05,-0.14198388696540065,-0.1074229954119621
01057000,CAMELS-US,0.05,0.25349609369366344,-0.26797315362710217,0.29542123391864095
01073000,CAMELS-US,0.05,-13.025284087969522,-99.04621774059653,0.7539953383637401
01078000,CAMELS-US,0.05,0.6951018780287384,-0.4720397754645711,0.7940418374066557
01118300,CAMELS-US,0.05,-112.45538664778748,-753.3776439398929,0.3978096615345199
01121000,CAMELS-US,0.05,-0.21439251263653047,-3.226383456416026,0.18622760459709686
01123000,CAMELS-US,0.05,-1.0393456635054785,-9.454389404268536,0.25341759048364
01134500,CAMELS-US,0.05,0.33371549173705173,-0.38648479819180315,0.34197552534590137
01137500,CAMELS-US,0.05,0.5380723352559655,0.22427920337566387,0.4447043312456709
01139000,CAMELS-US,0.05,0.2948111982800917,-0.4613904826968256,0.32798226762387894
01139800,CAMELS-US,0.05,-22.373744514315256,-166.78819535146005,0.5477560934626085
01142500,CAMELS-US,0.05,-0.3181338109491698,-8.491574589262466,0.7699930438011824
01144000,CAMELS-US,0.05,0.8004736762762963,0.7950054972113839,0.7579088121917447
01162500,CAMELS-US,0.05,-2.4730752519287855,-24.257497159326245,0.7002706291183189
01169000,CAMELS-US,0.05,0.32262718824224623,-0.0737042792897078,0.22663495411745416
01170100,CAMELS-US,0.05,-0.054762872494006576,-2.966329810443281,0.14453518058101866
01181000,CAMELS-US,0.05,0.07964060117001148,-0.16262777324774436,0.0058690683447342185
01187300,CAMELS-US,0.05,-1.51837209496566,-4.737186190747995,-1.6090122488502607
01195100,CAMELS-US,0.05,-45.341053469413865,-268.4452010256318,0.19183854954746438
01333000,CAMELS-US,0.05,0.0224043921364927,-5.72530411185416,0.7633428734893675
01350000,CAMELS-US,0.05,0.09382736914476364,0.05332700451507133,0.04582602164249727
01350080,CAMELS-US,0.05,-0.08187415165541023,-3.138694525057634,0.27878103572380863
01350140,CAMELS-US,0.05,-1.1633931754368243,-10.329906805722485,0.18148918841275785
01365000,CAMELS-US,0.05,0.22960820536557713,-0.42075331749624945,0.23280654351463403
01411300,CAMELS-US,0.05,-7.702410001542356,-40.01855641876675,0.9322444304469956
01413500,CAMELS-US,0.05,0.2903624075508964,0.1385933967078279,0.21965387280043736
01414500,CAMELS-US,0.05,-0.2884106953772887,-3.4933734169517825,0.02476120727579778
01415000,CAMELS-US,0.05,0.08207107144906556,-0.8865847714156849,0.19290464382647698
01423000,CAMELS-US,0.05,0.2833780673379541,0.2662913884909186,0.12449584883563769
01434025,CAMELS-US,0.05,-7.304040921386051,-49.20310226651618,0.19477565019398302
01435000,CAMELS-US,0.05,0.1273745201239166,-0.05558858712666548,0.09460039596716174
01439500,CAMELS-US,0.05,0.6449685386793848,0.3358312234719213,0.629078127054448
01440000,CAMELS-US,0.05,0.008210203209995104,-0.30618517215437047,0.022815906061785962
01440400,CAMELS-US,0.05,-0.017861269061460572,-0.6725224381624484,-0.1056211802013658
01451800,CAMELS-US,0.05,0.19808809350592949,-1.016852956434565,0.2821425544920403
01466500,CAMELS-US,0.05,-12970.079147021945,-70128.80585898338,0.8801476684464676
01484100,CAMELS-US,0.05,-352.8371935662286,-1706.9002914801238,0.6754646860625151
01485500,CAMELS-US,0.05,-1.0175222033964304,-7.552687745411054,0.6498534207973647
01486000,CAMELS-US,0.05,-287.7618770247862,-1298.544730797968,0.25266915744817864
01487000,CAMELS-US,0.05,-0.542858608292446,-5.414400731407888,0.6145901196255641
01491000,CAMELS-US,0.05,0.14022543689433042,0.17393227438066805,-0.08425039529244094
01510000,CAMELS-US,0.05,0.6488870611221711,0.325101093204347,0.48144081852438236
01516500,CAMELS-US,0.05,-6.741146243745417,-41.56617387957024,-0.9397971456789564
01518862,CAMELS-US,0.05,0.15263674490046453,-0.5201093034677273,0.1734616027648297
01532000,CAMELS-US,0.05,0.17464306260365792,0.14813702367140413,0.1587822446569891
01539000,CAMELS-US,0.05,0.4290805977582647,0.33519738785891295,0.38916577670597496
01542810,CAMELS-US,0.05,-51.563304824691684,-309.35521546764664,0.6239200806898615
01543000,CAMELS-US,0.05,0.574533736374816,0.46932997109900665,0.5437453421747565
01543500,CAMELS-US,0.05,0.6392032901264488,0.6214722475276007,0.5904157935439398
01544500,CAMELS-US,0.05,0.6422721965980727,0.29744878311025236,0.6306856419476246
01545600,CAMELS-US,0.05,0.03013943768175864,-3.906466704232776,0.7546500044005618
01547700,CAMELS-US,0.05,-0.9724633120817798,-9.51353544873663,0.6644081330896108
01548500,CAMELS-US,0.05,0.5916566417840268,0.5822374623209168,0.46247979426634234
01549500,CAMELS-US,0.05,-0.008450800147879578,-2.01650810405768,0.15125619628926612
01550000,CAMELS-US,0.05,0.31228589838723686,0.29604512266258687,-0.052276135341188246
01552000,CAMELS-US,0.05,0.25488906471406214,0.22724187999882095,0.21329757078811562
01552500,CAMELS-US,0.05,-0.7137987048633658,-6.4665176697205675,0.2727691261160232
01557500,CAMELS-US,0.05,-0.637435301948805,-7.690606542086332,0.72079707224268
01567500,CAMELS-US,0.05,-23.63070802237361,-95.18641915907969,-9.577386137219884
01568000,CAMELS-US,0.05,0.39641901956730075,0.32713122009216655,0.3706216946961406
01580000,CAMELS-US,0.05,-0.7022189214676535,-4.101397899996697,-0.5403037494552438
01583500,CAMELS-US,0.05,0.06369326437521405,-3.045419042864273,0.5805559920198552
01586610,CAMELS-US,0.05,-2.3803207828930213,-16.37524691771218,0.7217842315102221
01591400,CAMELS-US,0.05,-2.280665789257794,-14.875420238378558,0.5728515655493154
01594950,CAMELS-US,0.05,-280.3628055784884,-1510.8415422721866,0.5655692828400403
01596500,CAMELS-US,0.05,0.03806136439241359,-3.1293930451052026,0.6371661098325976
01605500,CAMELS-US,0.05,0.4320634178688286,-0.17586810966065225,0.5015532926549597
01606500,CAMELS-US,0.05,0.7326614967015247,0.7055431781457561,0.6985707273582313
01613050,CAMELS-US,0.05,-22.211821241484508,-126.04354135112942,0.6147521194560277
01620500,CAMELS-US,0.05,-2.12322030866942,-14.012454459157789,0.2143052757304611
01632000,CAMELS-US,0.05,-0.04837231930746633,-0.8391289695828423,-0.2691204344198139
01632900,CAMELS-US,0.05,-0.8764259003069041,-6.58928527601898,0.07311693367352445
01634500,CAMELS-US,0.05,-0.9989997494992802,-0.5909738722788389,-1.5833437033701525
01638480,CAMELS-US,0.05,-1.1024027336109818,-0.6134560173642181,-1.6235932013218464
01639500,CAMELS-US,0.05,-0.0011346750421969976,-1.567982133159687,0.20778469639418085
01644000,CAMELS-US,0.05,0.06557928153196335,0.30337371210582065,-1.4526981186440335
01658500,CAMELS-US,0.05,-159.4489216254912,-751.5893805953817,-6.069412257546904
01664000,CAMELS-US,0.05,0.7408007608262255,0.6502887019813719,0.4877928530420972
01666500,CAMELS-US,0.05,-1.0368789153606532,-0.7673939241987731,-2.2339740357743816
01667500,CAMELS-US,0.05,0.616253671462373,0.6088018753759905,-0.16747696672956236
01669000,CAMELS-US,0.05,-6.930212497393683,-35.992869225003076,0.3907431336108067
01669520,CAMELS-US,0.05,0.025501327354605308,-2.436250721107615,0.4194592359386836
02011400,CAMELS-US,0.05,0.33254004222800015,0.052635562361078914,0.33166432064281814
02011460,CAMELS-US,0.05,0.17283267176666006,-0.5612745868257656,0.230363435168366
02013000,CAMELS-US,0.05,0.40953443607275175,-0.24106188082805313,0.45862720129702594
02014000,CAMELS-US,0.05,0.5839156802507517,-0.044388804668856974,0.676292637062766
02015700,CAMELS-US,0.05,-0.11520981639880667,-0.1256755439292312,-0.37353401228585814
02016000,CAMELS-US,0.05,0.4324660887965657,0.4382305375791202,0.3125068569027344
02017500,CAMELS-US,0.05,0.5454318357717545,-0.6774012411537871,0.7015886760502896
02018000,CAMELS-US,0.05,0.2305326222243811,0.2635723818999258,0.19183584493876338
02027000,CAMELS-US,0.05,0.36722548584063397,0.11293221903704842,0.3648263693578172
02027500,CAMELS-US,0.05,0.34397851204130847,-0.794734830040216,0.5816084095197966
02028500,CAMELS-US,0.05,0.08552733496383191,-0.3283172157774432,0.004373715349573648
02038850,CAMELS-US,0.05,-33.97430350217661,-173.4049958033751,-0.0355875982519005
02046000,CAMELS-US,0.05,-0.6109721012062166,-4.662485287263387,0.36692089209185197
02051000,CAMELS-US,0.05,0.13812040418294158,-0.43402575123307496,0.306194391324469
02051500,CAMELS-US,0.05,0.528959237794995,0.3828731036503312,0.5342644037170768
02053200,CAMELS-US,0.05,0.8706478063896984,0.7190330850522554,0.888824037504672
02053800,CAMELS-US,0.05,0.2034275747085691,-2.1623202722658057,0.5376827961683812
02055100,CAMELS-US,0.05,-34.50756368640704,-178.29238751877213,0.37111953252327945
02056900,CAMELS-US,0.05,-0.3786855655491681,-3.4692211672696276,0.08810542714292124
02059500,CAMELS-US,0.05,-0.12144833608322636,-1.9513671106350308,-0.011240008614617825
02064000,CAMELS-US,0.05,-1.228170638538959,-3.3507061042845887,-1.2492593492159876
02065500,CAMELS-US,0.05,0.1723595755577817,-1.2887211726523886,0.1786884093229556
02069700,CAMELS-US,0.05,-0.723117160348077,-4.991058189950768,0.13620432616298683
02070000,CAMELS-US,0.05,-1.9278921234085753,-7.981821662561639,-0.7523986106127312
02074500,CAMELS-US,0.05,0.178008847042608,-2.665416044656345,0.7264662299552717
02077200,CAMELS-US,0.05,-2.5881639718455256,-13.354086762104311,0.49508912022738727
02081500,CAMELS-US,0.05,-0.01424182603810209,-1.1494903528930953,0.16801246783221857
02082950,CAMELS-US,0.05,-0.01723886897958704,-0.6577710757194737,0.03912164665153439
02092500,CAMELS-US,0.05,0.7699768067453967,0.3356497591350537,0.8297414772719651
02096846,CAMELS-US,0.05,-276.64772427236016,-1260.0123296568718,-0.2960849709304083
02102908,CAMELS-US,0.05,-290.5470062338588,-1265.0424349046652,0.1186640361416802
02108000,CAMELS-US,0.05,0.9128905924353287,0.7904535198310085,0.9209006841664203
02111180,CAMELS-US,0.05,-0.13415368062092092,-1.2551763155285958,-0.12122580479640122
02111500,CAMELS-US,0.05,-0.2121970098239898,-1.2929033310439753,-0.1519838453834248
02112120,CAMELS-US,0.05,0.5140211385134126,0.12472127712989278,0.5998073296550266
02112360,CAMELS-US,0.05,-0.08179258726902328,-2.1857835390279794,0.23220549010729707
02118500,CAMELS-US,0.05,0.1256182475386145,-0.44362682089293326,0.07459954608100938
02125000,CAMELS-US,0.05,-0.15747921595388847,-0.6155807518644876,-0.1299764294863397
02128000,CAMELS-US,0.05,-1.0484285444065433,-2.15904607535867,-1.0002833474323616
02137727,CAMELS-US,0.05,0.3408226147638078,-0.08460933769652224,0.3586287303827259
02140991,CAMELS-US,0.05,0.23525588015422572,0.17854398927805237,0.038767686240258836
02143000,CAMELS-US,0.05,-0.18832753668264068,-1.1064168970178252,-0.04803847987606691
02143040,CAMELS-US,0.05,-6.591101346712962,-26.957550403984623,-2.933895478550267
02149000,CAMELS-US,0.05,0.09707424825858746,-0.45290061166449136,0.16809384503615998
02152100,CAMELS-US,0.05,-0.65336128396926,-4.215578269432461,0.03331272339172742
02177000,CAMELS-US,0.05,0.6514661314822467,0.4999901996610604,0.6455544146131157
02178400,CAMELS-US,0.05,0.13171395669675745,-1.2115450675019686,0.3395270515975778
02193340,CAMELS-US,0.05,-42.426715629802736,-180.29037078066074,-0.1578704511882183
02196000,CAMELS-US,0.05,-2.690265870526488,-2.897856730024574,-3.217795252479265
02198100,CAMELS-US,0.05,-4.135878862285809,-19.053754295566616,0.5053453412493196
02202600,CAMELS-US,0.05,0.6599030078958393,0.033480234086642136,0.8540092328878564
02212600,CAMELS-US,0.05,-0.009666944092705965,-2.070604450469969,0.45204150217499384
02215100,CAMELS-US,0.05,0.7379148605050431,0.40165412524186594,0.8279517568520705
02216180,CAMELS-US,0.05,-0.2704293339170698,-2.733129694878399,0.6598052280441995
02221525,CAMELS-US,0.05,-0.7657503595162285,-2.4831421206532913,-0.3219073180986394
02231000,CAMELS-US,0.05,0.47740543543701686,0.30395264847438797,0.6763764404605294
02231342,CAMELS-US,0.05,-0.2733276226760539,-2.0492377861782756,0.8837764553761791
02235200,CAMELS-US,0.05,-6.080515246707427,-23.360330090569768,0.9779928838616689
02245500,CAMELS-US,0.05,0.8456177988775089,0.6707353383957744,0.9219288044228299
02246000,CAMELS-US,0.05,0.28770108930853755,0.21542314949835406,0.2880865524718027
02296500,CAMELS-US,0.05,0.9103401398757339,0.7880236788808963,0.9605273648368141
02297155,CAMELS-US,0.05,-1.7147067938553722,-7.266092385393744,0.7964266031920523
02297310,CAMELS-US,0.05,0.7873870821556929,0.5706143595360327,0.9167338619596821
02298123,CAMELS-US,0.05,0.931826385796407,0.8214519148327939,0.9725682608797518
02298608,CAMELS-US,0.05,0.7687649418421112,0.6584624854190004,0.8476548215810679
02299950,CAMELS-US,0.05,0.5588457118691553,0.3686986977385325,0.7086381179477647
02300700,CAMELS-US,0.05,0.5534170077249202,-0.05463591886679375,0.9187568870034903
02310947,CAMELS-US,0.05,0.64693604388136,-0.07850229696162536,0.9449299298351799
02312200,CAMELS-US,0.05,-2.740921615733117,-12.207648155589025,0.9271137022372208
02314500,CAMELS-US,0.05,0.9744399897493854,0.9383725007871495,0.9862440343036263
02315500,CAMELS-US,0.05,0.8090992377898778,0.8025158161290944,0.9116004979702191
02324400,CAMELS-US,0.05,-0.1326247806856251,-2.712185112050231,0.7796965616218006
02327100,CAMELS-US,0.05,0.20922321342043027,0.2298917875308617,0.2344321247352984
02342933,CAMELS-US,0.05,0.20571856683455936,0.07705338634614678,-0.006711375904497885
02349900,CAMELS-US,0.05,-1.2448515289660471,-6.873215143394674,0.45651493697648016
02350900,CAMELS-US,0.05,0.8312283181440963,0.7123886147540898,0.8689662835373644
02361000,CAMELS-US,0.05,0.7479037386397298,0.6734727008665374,0.7568786636476688
02363000,CAMELS-US,0.05,0.8370771018868727,0.7158164996674687,0.874150305364431
02369800,CAMELS-US,0.05,0.3251499466018115,-0.2648890197686651,0.6110024835111053
02371500,CAMELS-US,0.05,0.8739757365675213,0.755539272691984,0.9007778532254158
02372250,CAMELS-US,0.05,0.8935072949715922,0.7352127309445566,0.9396119896189807
02374500,CAMELS-US,0.05,0.5711224300565696,0.5532558963163019,0.5087398328233494
02381600,CAMELS-US,0.05,-45.204704846041956,-167.2378516793843,-5.951698177878123
02384540,CAMELS-US,0.05,-11.473208790822298,-55.68635169432664,0.33659299631227635
02395120,CAMELS-US,0.05,-8.932194299835336,-35.166529087277375,0.05937043408971887
02408540,CAMELS-US,0.05,0.28467572783534456,0.580216391216529,-0.27281276709446667
02415000,CAMELS-US,0.05,-0.4686433715779743,0.17630543733783544,-1.3647189903236043
02422500,CAMELS-US,0.05,0.36891565045559527,0.3656544172499646,0.2714691787250273
02427250,CAMELS-US,0.05,0.7776735989634188,0.5854632493146736,0.8757440444764139
02430085,CAMELS-US,0.05,-10.086473726918072,-41.85272172113625,-0.8275757828866459
02430615,CAMELS-US,0.05,-40.08946974278125,-165.4469880173692,0.07978840424909472
02450250,CAMELS-US,0.05,-0.653736377241416,-0.19781720766756417,-1.3548843188635238
02464000,CAMELS-US,0.05,0.45501377801344167,0.4025637745693078,0.3447420860470005
02464146,CAMELS-US,0.05,-27.434086536057745,-99.12253334139886,0.3143224509231737
02464360,CAMELS-US,0.05,-0.8258408118939393,-3.507853705211053,0.008640280194056382
02465493,CAMELS-US,0.05,-6.03225578067223,-21.36273376632655,0.29488881057118843
02469800,CAMELS-US,0.05,0.8164775332205612,0.6225851411534523,0.8656066780333678
02472000,CAMELS-US,0.05,0.823022176987654,0.7632084334754974,0.8036742248175652
02472500,CAMELS-US,0.05,0.6463719134325003,0.5706649342091425,0.635996841806621
02479155,CAMELS-US,0.05,-0.45988825873987005,0.1342997260962835,-1.082549308013268
02479300,CAMELS-US,0.05,0.8697295165788685,0.7413111172530737,0.899212693277435
02479560,CAMELS-US,0.05,0.8341804143809695,0.7930779690986413,0.7954322954297063
02481000,CAMELS-US,0.05,0.8135171177231697,0.6638471734096949,0.7228450171155838
02481510,CAMELS-US,0.05,0.3635988876161843,0.37483495992538474,0.17952262654834517
03010655,CAMELS-US,0.05,0.48662796675312536,-0.3433890604667147,0.5634542503695683
03011800,CAMELS-US,0.05,0.14570516538416556,-1.3443429320431313,0.3160574350697114
03015500,CAMELS-US,0.05,0.6572239245946501,0.5539409382066687,0.6640111861831881
03021350,CAMELS-US,0.05,0.009769757734593654,-0.09287509064151944,-0.14640138002056458
03026500,CAMELS-US,0.05,-16.134825359227015,-91.81500987819133,0.4955339868717449
03028000,CAMELS-US,0.05,0.33122181064834766,-0.1465730875123905,0.38101897490273884
03049000,CAMELS-US,0.05,0.43380690525150456,-0.07331882853820604,0.34101000554140004
03049800,CAMELS-US,0.05,-67.34631857534438,-431.85633507414474,-0.16060621849813228
03050000,CAMELS-US,0.05,0.42015566267552484,0.2762225141964706,0.30948733479363744
03066000,CAMELS-US,0.05,0.6556105482841277,0.295274012950145,0.720060994668257
03069500,CAMELS-US,0.05,0.6608702455187663,0.6452791168958939,0.5405139431918443
03070500,CAMELS-US,0.05,0.4755228260315564,0.31833844615947215,0.4723458774683852
03076600,CAMELS-US,0.05,-0.15025082007962354,-4.187307725368235,0.6371950419282868
03078000,CAMELS-US,0.05,0.2735853732890856,-1.7893470291117164,0.6087520319416961
03140000,CAMELS-US,0.05,-2.4954202744416256,-15.580452945176262,0.21893639537772913
03144000,CAMELS-US,0.05,0.5060024471751021,0.09719988954239445,0.5979899514007279
03159540,CAMELS-US,0.05,0.4371004126328316,0.06429383653445164,0.39458307698386097
03161000,CAMELS-US,0.05,0.41977336870158855,0.3119718310478199,0.2578660745725755
03164000,CAMELS-US,0.05,0.758803999481559,0.7494755055790574,0.7652594747866106
03165000,CAMELS-US,0.05,-0.5936008254521039,-3.867093261991255,0.020137735576423732
03170000,CAMELS-US,0.05,0.48983069390591416,0.07651088321326371,0.46329646998665264
03173000,CAMELS-US,0.05,0.47176285104535676,0.3038180908115704,0.4414586297883878
03180500,CAMELS-US,0.05,0.6103602514983899,0.4725458532164719,0.5875935289916381
03182500,CAMELS-US,0.05,0.6589396391243134,0.6150961055188591,0.5769295888520525
03186500,CAMELS-US,0.05,0.5385836695545592,0.27996818631974596,0.5110526070345165
03187500,CAMELS-US,0.05,0.4738978058294351,-0.05963250410892429,0.5170716492514329
03213700,CAMELS-US,0.05,0.7879202629839803,0.7769388863525815,0.2803459452309074
03237280,CAMELS-US,0.05,-4.3989100476411025,-21.750309787839523,-0.2946940094736743
03237500,CAMELS-US,0.05,0.26433622650621846,0.07756238309100116,-0.033440798120551785
03238500,CAMELS-US,0.05,-0.11065206407207384,-0.11805214077878912,-0.1791394152087129
03241500,CAMELS-US,0.05,0.3607986223974903,-0.40419193924230856,0.4700509892765188
03280700,CAMELS-US,0.05,0.04670125648984769,-1.9893065657819369,0.29400057942571045
03281100,CAMELS-US,0.05,-0.03926816741407135,-0.05296493575022265,-0.28202377734044104
03281500,CAMELS-US,0.05,0.595249456637756,0.5777939498500466,0.29835499165631474
03285000,CAMELS-US,0.05,0.18982782938679577,0.211289547464246,0.12961751151342282
03291780,CAMELS-US,0.05,-1.1421864390528822,-5.5708493736783415,-0.16243877251397443
03300400,CAMELS-US,0.05,0.5452907073327518,0.5045581983417451,0.41747333436012046
03338780,CAMELS-US,0.05,0.5765500191995427,0.22752747899297532,0.3441833862183711
03340800,CAMELS-US,0.05,0.22423830466974037,0.09044911435555958,0.20663118799534175
03346000,CAMELS-US,0.05,0.42977090749230096,0.35123395185562445,0.3388964565163852
03357350,CAMELS-US,0.05,-46.62664993479701,-270.74086033791366,-0.2673896928793671
