basin_id,model,mode,dataset,NSE,KGE,RMSE,MAE,PBIAS,FDC_slope_error,FDC_KGE,tail_RMSE_95,tail_RMSE_99,RB_flashiness_obs,RB_flashiness_sim,CRPS,mean_pred_std,n_predictions
1001002,chronos,zero_shot,CAMELS-CL,0.9092511397667006,0.8177182865640206,0.03373593488045604,0.013959069974231023,-4.095800627977734,-0.0017414463638417733,0.820608814803125,0.12622035433649012,0.07597314894682232,0.2203221619129181,0.19333826005458832,0.011481044123877454,0.008445151150226593,137
1001003,chronos,zero_shot,CAMELS-CL,0.7418674850571716,0.7333609855468353,0.0037828247472375914,0.0009902576945422293,-14.468590170262415,0.0005394575927560975,0.7690676247539869,0.01568990698012694,0.025844940915703773,1.4213333129882812,1.2074084281921387,0.000715869948434727,0.0012313033221289515,73
10100002,chronos,zero_shot,CAMELS-CL,0.995585050005403,0.9750727620480454,0.22112413456571647,0.08200585055087953,-0.20490794825954436,0.0003489624297023028,0.9751059441614472,0.776361900765476,1.2835761892652637,0.26360249519348145,0.27272433042526245,0.06436878201297702,0.08537337183952332,136
10100006,chronos,zero_shot,CAMELS-CL,0.9930877362328064,0.9949393805506613,0.2675257428940267,0.09754397691661165,-0.3438940651792892,-0.00013396990510301104,0.9962285498316603,0.7571273795533452,0.34360768329887087,0.1830792874097824,0.1992214471101761,0.07604562182674265,0.08497465401887894,131
10102001,chronos,zero_shot,CAMELS-CL,0.7228231203578626,0.7409541401536269,5.079738405640124,1.6352830588817597,-10.781288894656429,-0.003856465121997093,0.7828139267803172,20.94900718375751,33.35830497741699,0.4400090277194977,0.37013930082321167,1.4394762300163224,0.9056045413017273,80
10111001,chronos,zero_shot,CAMELS-CL,0.995743536549746,0.9954887814760195,0.27182229560397175,0.10281829415140925,0.30170169232838584,0.00039343469847261114,0.9959921871179644,0.17817738871584132,0.2723598278329756,0.18102550506591797,0.18707403540611267,0.0806958603850434,0.09323478490114212,148
10121001,chronos,zero_shot,CAMELS-CL,0.9206444199961477,0.8876195681733573,1.0370686874478956,0.2847067314844865,2.723081542695183,-0.00038096184410250575,0.89187618490628,4.1949207571622775,1.6824906914362598,0.4024979770183563,0.4582991302013397,0.21868375286835706,0.2716529965400696,130
10122003,chronos,zero_shot,CAMELS-CL,0.9009947165288892,0.9467150224255528,1.3917931569142246,0.36476179234112704,-1.7394164342510752,0.0010209618216540234,0.9806512626450667,0.8740988864892622,0.6424014496906201,0.2666691243648529,0.24735186994075775,0.3086231602561052,0.26062044501304626,186
10133000,chronos,zero_shot,CAMELS-CL,0.8735312422484371,0.8179606435086803,1.115993788331683,0.33312332075327,-8.507999125135253,-0.004927925866504777,0.827135695926497,4.3144098165367275,5.430042845848313,0.34899264574050903,0.276521235704422,0.27688795065108807,0.20394077897071838,188
10134001,chronos,zero_shot,CAMELS-CL,0.970438264394952,0.9247148465320911,0.6726142621534001,0.28839778709918895,-5.192774978422636,-0.004307109263360767,0.9258442779763306,2.1932547703207446,0.9852906186356272,0.37258705496788025,0.3402971923351288,0.24113041427681703,0.15133881568908691,188
10137001,chronos,zero_shot,CAMELS-CL,0.9356285483694033,0.879720999754981,0.6869094406037161,0.2146831723359915,-5.4969400837028575,0.0010796638641916573,0.883328020814882,2.7840190768560986,2.41879728368283,0.46567994356155396,0.38562989234924316,0.18779279258781365,0.09776847809553146,130
10140001,chronos,zero_shot,CAMELS-CL,0.5778789492726675,0.49589275708506775,6.056431048345842,1.4141156190428241,-17.32435035368872,9.472965569084363e-05,0.5294887627652765,26.063276484176797,44.37657751105535,0.5745146870613098,0.35775166749954224,1.2396249977085658,0.4945530295372009,116
10142003,chronos,zero_shot,CAMELS-CL,0.4470209363562637,0.35796596698300076,5.157071098549045,1.2471855485692938,-26.972428651806467,-0.0014052766220179619,0.42031367073435766,21.119332514314006,37.25585819076694,0.8275090456008911,0.5542299747467041,1.1140787895930246,0.60312420129776,141
1020002,chronos,zero_shot,CAMELS-CL,0.9488485244720706,0.9681114342189171,0.013036239312308616,0.0057562896094861486,-1.3511423017241921,-0.0005134783274123242,0.9808540431175347,0.036548487259210755,0.026955475539574076,0.19988656044006348,0.17796829342842102,0.004850410676152267,0.003977833781391382,126
1020003,chronos,zero_shot,CAMELS-CL,0.8188480660151344,0.8075727094620941,0.0075532020432017375,0.00269583979512545,-7.550950170625939,0.00025302855088782036,0.8308266332654132,0.024924124255923562,0.03487659286178038,0.7215961217880249,0.6892770528793335,0.002372596907184226,0.0032567025627940893,141
1021002,chronos,zero_shot,CAMELS-CL,0.9551750996062287,0.9775616633598132,0.013604086857037966,0.0070011521297725825,0.3226579814613864,0.00011126033398873615,0.9939723553958475,0.004316384993493301,0.004489685398122402,0.021505553275346756,0.02359532006084919,0.005291118911742435,0.009460380300879478,183
10304001,chronos,zero_shot,CAMELS-CL,0.981871050824188,0.947501289320877,0.6983049208983783,0.25936941007026154,0.433155872991189,0.0003379389290000985,0.9477986979737532,2.410278934604989,4.157099852950892,0.26870301365852356,0.2861413061618805,0.21133856109277338,0.2101667821407318,133
10305001,chronos,zero_shot,CAMELS-CL,0.6499229762819705,0.640215446622145,5.447415683934257,1.7254162215269528,-16.631771918537588,-0.0009491132690368567,0.6864027025816155,21.189919079097145,35.67426918785191,0.6940151453018188,0.5701172351837158,1.5958576373697417,1.1393691301345825,130
10306001,chronos,zero_shot,CAMELS-CL,0.6145641723905089,0.714035314558213,3.4892986665770045,1.209686157496079,-11.069244587441165,0.00011299496273017677,0.7937384768382264,13.689431694849748,15.180444188698027,0.4469080865383148,0.3266907036304474,1.0883204157042186,0.6327125430107117,184
10311001,chronos,zero_shot,CAMELS-CL,0.9976817584575525,0.9823664512066862,0.07108162142418517,0.04003515610328087,0.6186318731734168,-4.1825273995315694e-05,0.9823750639336339,0.014201558476965971,0.010181427001953125,0.08270899206399918,0.09297212213277817,0.028155918323882156,0.06568317860364914,39
10313001,chronos,zero_shot,CAMELS-CL,0.9126542905143804,0.9443971937194952,0.5846831828681477,0.17634628200402824,-0.4445152859785345,0.0018074456389396143,0.961660817010467,2.4128260290308576,1.5889008521299897,0.3482096791267395,0.40206804871559143,0.15119081525532216,0.07825717329978943,186
10322003,chronos,zero_shot,CAMELS-CL,0.8343419996218627,0.8724899661105855,1.6986121167139117,0.6623195837874439,-4.24354119723318,-0.0006509492522139282,0.9024479977625514,6.062854900839247,8.735722168561743,0.29407763481140137,0.24019812047481537,0.5636653018416038,0.38356447219848633,181
10327001,chronos,zero_shot,CAMELS-CL,0.7915668260473667,0.8305308153175059,1.5201727375128014,0.6048598734159318,-6.137834516186334,9.367092196865823e-05,0.8687646280442197,4.693215433597932,7.95930392445047,0.3346737027168274,0.32517915964126587,0.5163243846816873,0.38601526618003845,126
10328001,chronos,zero_shot,CAMELS-CL,0.9405516264612738,0.906364710567685,0.7267080197582465,0.3416344886240752,-2.957747386227035,0.0015174058369886202,0.9103218130586651,2.43511611113726,4.3592932125483035,0.1865096241235733,0.1562361717224121,0.28062865423988625,0.26263245940208435,138
10340001,chronos,zero_shot,CAMELS-CL,0.9979554660219339,0.9987641352329829,0.1722980755371524,0.09199015431933932,-0.006027224590284483,0.0004967076475507499,0.9992378296779592,0.18192958410913573,0.12982921923412963,0.0903448611497879,0.09380128979682922,0.0745248281095219,0.11946341395378113,180
10343001,chronos,zero_shot,CAMELS-CL,0.38955204701882284,0.5492565342716071,4.498943262166812,1.1468519516407498,-2.0500500646052386,-0.0026029298439661196,0.5550313800779859,18.407089690641936,33.52523492309191,0.5866715312004089,0.5954651236534119,0.8943685906318591,0.7174803614616394,126
10343002,chronos,zero_shot,CAMELS-CL,0.8351044665898436,0.8094174772299988,1.439689895753226,0.5670166663956224,-9.906678319947646,-0.002327513761631903,0.8243952987909434,4.1326103841679505,6.0965242146993335,0.5424219369888306,0.43334293365478516,0.5148093618924711,0.42751631140708923,114
10344003,chronos,zero_shot,CAMELS-CL,0.9465502816875766,0.9617295174638912,0.8942629322021997,0.338644626347915,-0.8244652343251039,-0.0002372387437948771,0.9677491716055555,3.3790637681595346,4.123693653233244,0.2382911741733551,0.2442442923784256,0.2749621831223071,0.21832275390625,184
10344004,chronos,zero_shot,CAMELS-CL,0.9665235716017943,0.9756579627524412,0.5427534145221574,0.22393947883888526,-1.3410650648133022,-0.0003285906479707397,0.9820277778448888,0.5917947667928158,0.3679644707236962,0.18114985525608063,0.18332986533641815,0.18067185659265966,0.21155878901481628,135
10351001,chronos,zero_shot,CAMELS-CL,0.9531947047093381,0.9444634732225328,0.3881512070952573,0.14954924701075806,-0.3541847931136169,0.003200619441025475,0.9481693832295292,1.558694771451904,1.3679988782564743,0.4506690800189972,0.4310949742794037,0.12447036588299998,0.07723623514175415,114
10356001,chronos,zero_shot,CAMELS-CL,0.8896139613605816,0.8896174274088873,0.9929539880058147,0.21080014387026746,2.614372226011388,-0.002241244019634589,0.8988932750826244,4.2295526094171185,4.115667874395956,0.5059390068054199,0.4961574673652649,0.17437928012285175,0.1891784816980362,188
10362001,chronos,zero_shot,CAMELS-CL,0.6144006880549837,0.7688782213230815,1.3034184636523838,0.31635248847305775,-4.776625231103933,0.002897568522155017,0.8971541756845743,4.857683822982783,8.762823104858398,0.7114101648330688,0.6663219928741455,0.27012822020413096,0.17783817648887634,84
10363002,chronos,zero_shot,CAMELS-CL,0.9001330845809796,0.868193938395251,0.46492684579042204,0.14183516669397553,7.155320382944322,0.002122763553381847,0.8743254236562412,1.03143460870289,1.565011978149414,0.5734116435050964,0.5430483818054199,0.12020925114559093,0.05698302760720253,75
10364001,chronos,zero_shot,CAMELS-CL,0.9710162532935764,0.9656210796573165,0.2987134930642759,0.1322938844009682,-1.3842072848602491,-0.0007234100635976209,0.9687060790487069,0.43292984755095537,0.6394923820326537,0.271749883890152,0.26087796688079834,0.10635155476406499,0.10406025499105453,108
10401001,chronos,zero_shot,CAMELS-CL,0.06212468623477674,-0.07883472098698996,2.3151063280154354,0.5881871354012262,-48.204888144161174,-0.0018423293032009133,-0.07733264098219328,7.4939489982688645,10.576866626739502,0.6956217885017395,0.31679651141166687,0.5728994982320851,0.082405224442482,21
10405002,chronos,zero_shot,CAMELS-CL,0.33587486725438,0.5931934045109065,7.134005400906304,2.0114722956706137,-21.495532358679874,-0.008177629111498053,0.7604698027608966,30.618959837386722,45.17225973409991,0.7844206690788269,0.6378970742225647,1.7980326173667593,0.8841791152954102,137
10405005,chronos,zero_shot,CAMELS-CL,0.06172611137056938,0.574594217405477,9.614655780568896,3.1542787027359007,1.2781679850347918,-0.00575101410030103,0.826159721567475,36.23960661474105,55.93374156951904,0.685847282409668,0.8558828830718994,2.5659258291901947,2.6988115310668945,75
1041002,chronos,zero_shot,CAMELS-CL,0.9191461622775157,0.9517430221519412,0.0058689438183084225,0.0024415684827402526,0.31885072714546575,-0.0005935068559850803,0.9694719342565683,0.02120417010262118,0.02976844916790247,0.11736255139112473,0.11714763194322586,0.001998136985975686,0.0022182418033480644,153
10411002,chronos,zero_shot,CAMELS-CL,0.3256386831789795,0.5101066433510073,2.1364559537501324,0.6015794117003679,-16.035613674586713,0.0005745095878157067,0.7155099206261815,9.06088275330394,13.295867133400455,0.8915865421295166,0.7559974193572998,0.536309369463149,0.4555920362472534,120
10414001,chronos,zero_shot,CAMELS-CL,0.9595806752601435,0.9618673016402315,0.2472385529953808,0.10476105553763253,-0.9998968987352296,-4.557408888443415e-05,0.9672447697298648,0.9007667927836279,1.936121940612793,0.14941953122615814,0.12747187912464142,0.08065893685544712,0.10540837794542313,91
10431000,chronos,zero_shot,CAMELS-CL,0.4951075085211387,0.519451257824689,5.3072040777173735,1.9818658828735352,-16.11319165388614,0.0011637900348775432,0.604414084477734,20.892359442699764,28.033357620239258,0.5883234143257141,0.3625224530696869,1.8290225333918604,1.5384893417358398,38
10432002,chronos,zero_shot,CAMELS-CL,0.4746164905572574,0.5135635426318843,1.1643627248593689,0.42775373721725485,-21.744759393711576,-0.0032141444533867088,0.6067906667257967,4.486544450961984,6.764962892813185,0.7600775361061096,0.5480287075042725,0.39286077375744977,0.30086660385131836,178
10432003,chronos,zero_shot,CAMELS-CL,0.3849646773675529,0.4628663124973591,7.853077803955177,3.837081013520559,-31.793436197903368,-0.018136184721741985,0.5781119146306204,23.812246171150914,33.767397564743085,1.0215471982955933,0.903207004070282,3.5004395775338573,3.1076834201812744,150
10440000,chronos,zero_shot,CAMELS-CL,-1.362790935600061,-0.33749973172060654,12.451747967160424,9.553624153137207,90.38975428894388,,,17.539505004882812,17.539505004882812,0.7664232850074768,0.7994085550308228,9.023265201299509,0.9515924453735352,2
1044001,chronos,zero_shot,CAMELS-CL,0.7350533374073538,0.823878520702366,0.004736972360519121,0.00154752043391844,-1.4552116279400884,-0.000297168289969018,0.8881377079413649,0.019762942963641065,0.03547521557315799,0.23775357007980347,0.21046383678913116,0.0012813876604244637,0.0009609762928448617,140
1050002,chronos,zero_shot,CAMELS-CL,0.4783005470302284,0.7462608164981057,0.004474811182515687,0.000927902445004418,0.571747848219897,-0.00013071300839199562,0.8925334051574739,0.0020972835129201696,0.00040124292101033766,0.07496339082717896,0.07931951433420181,0.0008616129245807884,0.0005084851873107255,116
1050004,chronos,zero_shot,CAMELS-CL,0.7690439249970353,0.8437300010878802,0.003357415400404394,0.001327237077722592,-2.9289645208833557,-0.004229967788464127,0.9015720383627088,0.012226142899780166,0.02394852228462696,0.23661373555660248,0.15249405801296234,0.0011015934300262458,0.0008512779604643583,70
10503001,chronos,zero_shot,CAMELS-CL,0.9379765647467906,0.942618486562517,0.8771713929913317,0.33549644649028776,-2.166220564946756,-0.000329836851574436,0.948543217768466,2.529373028555572,4.158668684161815,0.4019128978252411,0.3840019404888153,0.28093513634254547,0.18937358260154724,120
10514001,chronos,zero_shot,CAMELS-CL,0.9395595748662519,0.9085035586986102,0.8648109625768098,0.418160167005327,-5.6989055610591794,0.0013673225549412464,0.9125821547819786,1.8636716541552754,1.2400341033935547,0.41317033767700195,0.38375627994537354,0.3512507449262727,0.29708200693130493,90
10520001,chronos,zero_shot,CAMELS-CL,0.9595609936827563,0.9707686515926203,0.7623706713880134,0.4372971412297842,-2.1533122317220217,0.0006291767568248636,0.976680200829546,1.957244234788576,2.1644668579101562,0.3773632347583771,0.3866216838359833,0.3501294034356176,0.3327818810939789,74
10523002,chronos,zero_shot,CAMELS-CL,0.8829386747878608,0.9087071438271602,1.3436957381248702,0.564589405242771,-5.937962921396421,-0.001626304266669907,0.9282589324841157,3.0261448832984987,2.4796206402467904,0.4160618782043457,0.4284769892692566,0.48065022777546695,0.3641459047794342,183
10701002,chronos,zero_shot,CAMELS-CL,0.8041352029183313,0.7944784615168269,3.2382556529471267,1.038497519493103,-1.6694328543901624,-0.0016975868062756375,0.8045839809127062,12.647652896830659,20.573715798003413,0.550196647644043,0.5935563445091248,0.8668428080995675,0.7338863611221313,125
