basin_id,model,mode,dataset,NSE,KGE,RMSE,MAE,PBIAS,FDC_slope_error,FDC_KGE,tail_RMSE_95,tail_RMSE_99,RB_flashiness_obs,RB_flashiness_sim,n_predictions
003303A,ar1,zero_shot,CAMELS-AUS,0.3543523171026508,0.17941599079835102,0.17810437444749302,0.024178279707497436,-36.0293595609398,,0.223074923170004,0.7713963414285505,1.711414651703837,1.9446814931196845,1.2880531871172345,188
102101A,ar1,zero_shot,CAMELS-AUS,0.6307851994691717,0.47975269924102104,6.422574130752126,1.706600200984882,-11.043506684552874,-0.0451866281404724,0.4931804684169895,27.12856025405645,50.38813470865789,1.3004559896696557,0.8036036924077187,166
104001A,ar1,zero_shot,CAMELS-AUS,0.40826084455399203,0.39272158921742284,1.5698379766302613,0.4636364615761736,2.0311846541195693,-0.1641414727739689,0.4961246100609227,6.686244294271399,12.941877598413255,1.162646475264132,0.6220495277309667,188
105101A,ar1,zero_shot,CAMELS-AUS,0.6281753116152434,0.649090468868045,1.6027495138404937,0.5751837043486457,26.616203085497556,-0.046725444474013896,0.677499374770919,6.344536683161067,11.855337058067676,0.979072045435139,0.8768370051892738,188
105102A,ar1,zero_shot,CAMELS-AUS,-32.927509610212,-5.4349449284059075,26.95571185579982,2.6244421794812833,304.34895995325235,-0.08113861470514183,-5.434939544828858,117.14081772653365,248.3719116646304,1.7989303859125025,1.722047605182625,170
105105A,ar1,zero_shot,CAMELS-AUS,0.35485465270867467,0.45295309551539287,4.4466809477779075,1.0002980578859415,3.0851707031848044,-0.06701510748978667,0.6300731780341811,19.029926100327955,41.442980990896736,1.243514995205771,0.7773904431480256,188
107001B,ar1,zero_shot,CAMELS-AUS,0.18744272641457438,0.5578746877712,1.4401537791737342,0.4413502761220795,19.56251780413774,-0.011150894491737853,0.6463890716640047,6.06378333645005,12.322353220962626,0.8890151102229046,0.7678306053557437,188
108002A,ar1,zero_shot,CAMELS-AUS,0.5056453401555627,0.33201770032164357,9.459625553090353,2.0630393995099245,-13.739117965762254,-0.016854188351452016,0.3348469441777342,40.484231027756884,89.47771649764297,1.1471076712160915,0.5663436601830338,188
108003A,ar1,zero_shot,CAMELS-AUS,0.6088029218150954,0.6806502332451169,3.968340120453901,2.024003329627374,8.602445121837057,-0.01259403541869798,0.7655267193040874,14.395598764756853,23.377918277454217,0.7446641618282213,0.545173724869184,188
111005A,ar1,zero_shot,CAMELS-AUS,0.5978277728286872,0.7659218882490174,4.45315400430826,1.4784328785393206,2.8667676133134212,-0.009360073505272449,0.9050512241706571,18.27585497147042,35.516850038602186,0.787627141934189,0.6293107416168376,188
111007A,ar1,zero_shot,CAMELS-AUS,0.6067326454907074,0.7568537203297353,5.869194782661763,1.7017747135793109,1.5662779521979842,-0.009955047860363449,0.8619131795567445,24.84815758639572,51.502714846126736,0.9157185686514582,0.6475363573862375,188
112002A,ar1,zero_shot,CAMELS-AUS,0.32521666048660525,0.6373819568410239,6.4683415548167496,2.5312134103578434,5.138736865207018,-0.012872706481030557,0.9224467275818431,18.28898049414737,29.651725568624034,0.5723217138676303,0.4727854480814017,188
112101B,ar1,zero_shot,CAMELS-AUS,0.653441341283272,0.70378984266324,3.5135461894806164,1.4153221589155334,-0.5931400260369076,-0.007930464865922911,0.772363967354096,13.368080408047872,24.507423347529368,0.4593071655291215,0.3647225733398023,188
112102A,ar1,zero_shot,CAMELS-AUS,0.612903060271252,0.8026371647423705,4.696868200864632,1.8272423031450433,3.65556672491747,-0.01103615225989953,0.9024405846211586,15.143806101922857,18.010678809354392,0.6079992279032045,0.587210430227359,188
113004A,ar1,zero_shot,CAMELS-AUS,0.7169655775702126,0.6998359562228085,2.97933588248445,1.3178823375705013,-3.4783122365867407,-0.006239489940650957,0.7368450450093509,11.67522588094742,20.35813081646401,0.5893250966884187,0.41167248176239146,188
114001A,ar1,zero_shot,CAMELS-AUS,0.5120461403244357,0.7212047740099502,4.227659478598046,1.43613332227806,5.620559572584221,-0.01944429633048824,0.9009700279294511,17.296639711942507,28.09899196699493,0.7469979094808618,0.512121970445581,188
116006B,ar1,zero_shot,CAMELS-AUS,-0.048227363074499374,0.07105548591503696,2.80740139722657,0.48751241944341245,34.99146723923037,-0.01948622384519441,0.07301114230954808,12.113943337354714,24.367408541853088,0.8533755684180594,1.0064127105182177,188
116010A,ar1,zero_shot,CAMELS-AUS,-0.08553120146933879,0.24600082793829903,4.6106775192914276,0.9513409689185249,27.419770408092397,-0.027140977946718537,0.2510298551422683,19.882150962229634,41.38621959175699,0.7749065228656343,0.7569716703169,188
116011A,ar1,zero_shot,CAMELS-AUS,0.5513432781793097,0.7156237784292825,1.3050918004078906,0.5625516126099666,17.087822030607317,-0.015024124003707093,0.7690946551934928,5.106117671532346,11.016170014343238,0.47233352081834,0.3878842414004314,188
116012A,ar1,zero_shot,CAMELS-AUS,0.030576952623155296,-0.16807374294134259,9.276090354662282,1.7952539228976532,-28.56904214435215,-0.0067026273240005235,0.16005997876987288,40.10955138865217,85.88517892701437,1.5216541512157562,0.46289804984127464,188
116013A,ar1,zero_shot,CAMELS-AUS,0.8314858410309502,0.7926426646514022,1.003343811834373,0.5129014283130594,8.253708318564227,-0.015264147047512246,0.8095226077567035,3.8784870050307556,4.358984141637018,0.6835664386088395,0.4496715690388823,188
116014A,ar1,zero_shot,CAMELS-AUS,0.615994257790515,0.7840298508756661,1.2485709671837728,0.39758210182838083,10.432509288176812,-0.051097409161336184,0.8630745055461189,5.113497285212343,10.694222107560423,0.9461165009283252,0.7607321277753436,188
116015A,ar1,zero_shot,CAMELS-AUS,0.6572089750332157,0.7361203435244984,1.380130781943163,0.5991634063455081,5.708844653973995,-0.015255917205951167,0.814485552088892,5.582440062718186,10.281471468032091,0.6471466082835667,0.4356495401982428,188
117002A,ar1,zero_shot,CAMELS-AUS,0.6356912275293732,0.47546532341673753,5.3098890573323585,0.951134733288317,-13.210219039262004,-0.06222497813319023,0.48073484631041574,22.94683316551952,48.90263646633911,1.2685687691226752,0.7464688428252207,188
117003A,ar1,zero_shot,CAMELS-AUS,0.5438919113082981,0.336813196682499,20.872984909424684,2.664950681072081,-24.621521472906643,-0.06940406129871517,0.33698742079941846,90.45083681805197,198.42818030688676,1.4031182585903532,0.9248783777670812,188
118106A,ar1,zero_shot,CAMELS-AUS,0.6992566547882418,0.49040669359009803,5.258314853402769,0.8876048611542805,-16.05391201203565,,0.4919369053929761,22.73186653209926,49.63533228378785,1.1756320120621417,0.7165440500707861,188
119003A,ar1,zero_shot,CAMELS-AUS,0.5806728601503739,0.38173204859216203,4.587503298599139,0.5078841386868483,-27.379776610212232,-0.0006475221644793756,0.3960062034088505,19.877912410216297,44.20824268302607,1.3307789268830952,0.8702811684753186,188
120102A,ar1,zero_shot,CAMELS-AUS,0.584983719004919,0.2672458951400669,13.048066617772387,1.6014017720264335,-35.22574199149997,-0.13556540813680512,0.26724715261693044,57.654625922413146,122.10184955316602,1.782204937318874,1.0239146853697545,176
120301B,ar1,zero_shot,CAMELS-AUS,0.5466979039502344,0.6997259975308547,0.12861921238259266,0.023725265627860863,3.2182252400980693,,0.719471503907748,0.5551580596688204,1.167686862926583,1.4092302380879438,1.2947370546066308,188
120304A,ar1,zero_shot,CAMELS-AUS,0.7237166317843533,0.6428049786870954,0.03249584409070679,0.010961188938750097,24.435794426333704,,0.6732799567043172,0.1355359430463298,0.2528793593271838,1.4795974452121965,1.0143933813935067,188
121001A,ar1,zero_shot,CAMELS-AUS,0.07150767295076643,-0.07620218863382222,1.6350036330031938,0.3835841039957249,44.51270189584136,-0.10767511796336063,0.19781420120623971,6.99017217282954,15.570063126061328,1.436457800928222,0.3031063547126097,188
121002A,ar1,zero_shot,CAMELS-AUS,0.7728817065884751,0.7695095232513405,3.0424557943642996,0.6177503366778861,16.99668769310795,,0.8011836287895511,13.481580056362331,25.607751420581334,1.6539069224500182,1.180428957642936,178
121003A,ar1,zero_shot,CAMELS-AUS,0.5690490165604796,0.7761581204248021,1.4054811574151678,0.31474129950613006,-6.811297664380454,-0.05899746089590943,0.8207654593417854,6.07219155815875,12.250379351288382,1.522053674537805,1.0317792889416824,188
122004A,ar1,zero_shot,CAMELS-AUS,0.055042999256270986,0.2833538219058662,30.851817730935334,5.535597767936086,-7.335413694592094,-0.05108493261604679,0.6217266147057862,133.62081085692557,269.8228749278208,1.6148558138097495,1.1070406819005294,188
124002A,ar1,zero_shot,CAMELS-AUS,0.20330139909777267,0.09123383712013566,12.468519989272764,1.9087706964458966,45.35458223920537,-0.02075919382494199,0.09145087908461991,55.17269910642363,115.3777750641688,1.0731903956772086,1.1886795582503769,177
125005A,ar1,zero_shot,CAMELS-AUS,0.4027485287694109,0.6852369884264614,3.1605910626411933,0.5680330932170652,-3.7957592816492878,-0.003259370813983215,0.9290858924402187,13.683030391499234,28.60120210958272,1.114410337539244,0.9970270435340277,188
126003A,ar1,zero_shot,CAMELS-AUS,-4.60957205282445,-1.4039104849095017,2.047937342159654,0.744051794495615,176.93088238102533,-0.07606152147450959,-1.372090343362371,8.418920710883524,3.7794238951030037,1.0152748848431326,0.5147167231394342,188
129001A,ar1,zero_shot,CAMELS-AUS,0.7519261650431532,0.5451534831879685,2.03851746464465,0.6036048652896837,-4.100688249418543,-0.010308310566086307,0.5469029893915403,8.742901129133042,16.25493605552087,1.3592161103546454,0.8062216070696944,188
130004A,ar1,zero_shot,CAMELS-AUS,0.6103557275616872,0.5638934348790221,0.0809780609696638,0.03017795887078715,28.942682943577854,-0.009289764357956363,0.6193971872634645,0.3356983028297875,0.6374126631540172,1.0361754969348764,0.692585131322962,188
130302A,ar1,zero_shot,CAMELS-AUS,0.9062311674774405,0.6927143618198848,0.12596934223815967,0.02933894207132133,21.96593035474204,0.010106180979821074,0.6930627452686665,0.5418960398748698,1.067411218653661,1.5869224698153743,1.4757815798683733,188
130324A,ar1,zero_shot,CAMELS-AUS,0.6045142877359688,0.23618573545444443,0.5867627760382793,0.05676413406851392,-43.87320952281672,0.0005812545908207862,0.23619230920904344,2.5437841014339306,5.681175372613389,1.8064807440790933,1.253055316490806,188
130403A,ar1,zero_shot,CAMELS-AUS,0.44405748423803737,-0.12513289669525607,1.3638642302042228,0.5059571568810622,101.91615722586651,-0.07098125831318776,-0.12100795101924722,5.692082119572703,4.701117412264819,1.5022536444181032,1.0481557737097502,188
130410A,ar1,zero_shot,CAMELS-AUS,0.30375265895909,0.2759561316064797,0.06203037923475336,0.017665681501884918,8.918610203736588,,0.4143257392459371,0.26169782755620813,0.48518932944316645,1.737163184077549,0.5784222296470677,188
130413A,ar1,zero_shot,CAMELS-AUS,0.5726476710676568,0.5126015507579598,0.5873777477422791,0.16681007200716005,44.17163272581733,,0.5543764733005736,2.4780513110900255,5.135687465047426,1.5589318996138197,0.9861027608127347,188
132001A,ar1,zero_shot,CAMELS-AUS,0.16506915940599776,0.0335717833514082,0.5004560517700362,0.09843888142003009,-26.017822612387576,,0.11821985627341847,2.1573513094758336,4.7774063357414605,1.8249439589994805,0.4184110782760581,188
135002A,ar1,zero_shot,CAMELS-AUS,0.46935252306674147,0.28349590458637197,0.34500628799587724,0.07493366232583637,27.32262219733346,,0.28652946078291974,1.4288570527520676,3.1946344217681184,1.446787355966597,0.41310118824970493,188
135004A,ar1,zero_shot,CAMELS-AUS,0.750115848946709,0.58285762651813,0.2757590122837287,0.07291694730364022,26.91467400938926,,0.5849546543024966,1.1212581950035292,2.483954499641058,1.2379557839306516,0.7883085729186696,188
136006A,ar1,zero_shot,CAMELS-AUS,-11.487955009850268,-3.7104220911923456,3.33764335523163,0.29692124798770014,314.36876114473625,,-3.710421381621434,14.466297296716125,32.34599010583967,1.878299395416064,1.731345034462902,188
136202D,ar1,zero_shot,CAMELS-AUS,-0.1651282873658153,0.3027981181415468,0.38748709741290005,0.0646889333939708,20.297209839921955,-0.01760399963574812,0.7617329419552653,1.6747164714304126,2.966498956930172,1.461732693390887,1.1259138562853694,188
136203A,ar1,zero_shot,CAMELS-AUS,0.6835493041315489,0.22934793836129508,0.9199479411191811,0.0813385694781231,-52.987491007057635,,0.22934958051461019,3.9883444973785225,8.902522509490678,1.9289104895214,1.709254008595174,188
136208A,ar1,zero_shot,CAMELS-AUS,0.5601109153714224,0.5866910507206496,0.09870542436178818,0.024795420526379817,23.5849780866617,,0.65954825951262,0.41765844650023615,0.7755148053330598,1.6586191774093457,0.7964445779113194,188
136304A,ar1,zero_shot,CAMELS-AUS,0.4704433696012622,0.19323695983576628,0.846515103762345,0.08604969209730556,-44.669889915789355,,0.1940715901102913,3.670107537972482,8.021682565072126,1.8883584494857653,1.5589485887639627,188
137101A,ar1,zero_shot,CAMELS-AUS,0.47654403855698724,0.5127468236238548,0.31833577577396716,0.08463944505775392,39.525016502696815,,0.5975957566676617,1.3477817190746209,2.1182346698561587,1.2614856468137683,0.8368136190262604,188
137201A,ar1,zero_shot,CAMELS-AUS,0.09531523854586665,0.2676095115818058,1.0851194845935843,0.22239595707762827,16.66610096775057,,0.5924572637956046,4.6533898442604125,9.340732954418295,1.6073986299740337,0.8781335450018751,188
138004B,ar1,zero_shot,CAMELS-AUS,0.28222985590739347,0.048971401585475305,13.289539138527823,1.4195260705872572,-46.5110174870243,-0.0323271439100455,0.05082241892524941,57.5982554616503,128.53640394425588,1.8985037638386995,1.0295898740710556,188
138009A,ar1,zero_shot,CAMELS-AUS,0.8335025336971078,0.5624959839816183,1.982473916060114,0.27822209414391014,-17.904237373169764,-0.04204235815209473,0.5625291724086053,8.581347192673244,19.12011913322756,0.9960142979889425,0.7732575140578528,188
138010A,ar1,zero_shot,CAMELS-AUS,0.4762110819657651,-0.6235816981087952,0.34030620884072227,0.2812222155662026,159.88797695697278,-0.02267021824331093,-0.6217311554277904,0.659461085276524,1.2126539407134098,0.8928471091314947,0.2331864203208905,188
138110A,ar1,zero_shot,CAMELS-AUS,0.42969658189808124,0.5107856169123992,1.3717649902294986,0.2954732351577497,-3.674057162012561,-0.02563955248358458,0.651314093500311,5.912650602770825,12.248620745653096,1.308012469700413,1.1478813200252909,188
138113A,ar1,zero_shot,CAMELS-AUS,0.20687655632535717,0.028293644063969392,3.4971788524020693,0.9567912542084034,48.60666197360816,-0.038262035138126246,0.16980366865316598,14.835510657728866,33.09301456577317,1.5346493269903632,0.40185865106466123,188
138903A,ar1,zero_shot,CAMELS-AUS,0.31525439741121375,0.6185351959175472,1.0422287770618954,0.24073059057400462,3.706666640777021,-0.02512673372385454,0.6695410073569699,4.497329202588518,5.167615766347024,1.2838213516435186,1.2890047661750024,188
140002A,ar1,zero_shot,CAMELS-AUS,0.10548203894443908,0.11606200970881486,2.2649508359781327,0.5176519827945022,-2.9154833338740875,-0.004619560484820844,0.41202144095424253,9.752230372194758,21.087329510264794,0.5585931687422443,0.3301489805149647,188
141008A,ar1,zero_shot,CAMELS-AUS,0.828954562156772,0.8512087141553244,0.9212268002933903,0.38047191205624364,0.31176591614156646,-0.020928059913789217,0.8807240070311015,3.6160645363988415,4.369624730261324,1.0909457381025087,0.9513300865500902,188
143007A,ar1,zero_shot,CAMELS-AUS,0.07003538250142094,0.012034653510697102,0.3694743417695193,0.04581382626802906,-28.241948923805708,-0.07540454006725492,0.31622914043961337,1.6010997810686471,3.544864418167235,1.5498568210194887,1.0452945824103481,188
